region,artist_name,title,permalink,machine_clusters
Americas,"Jennifer Allora, Guillermo Calzadilla",Land Mark (Foot Prints) #12,https://kadist.org/work/land-mark-foot-prints-12/,"Arts,Inequality,Land"
Unspecified,Gabriel Kuri,Untitled (Ticket Roll),https://kadist.org/work/untitled-ticket-roll/,"Immaterial,Time,Community"
Americas,Renee Rhodes,Moving Clocks Change Rhythm,https://kadist.org/work/moving-clocks-change-rhythm/,"Arts,Mind,Technology"
Americas,Fiamma Montezemolo,Fireflies,https://kadist.org/work/fireflies/,"Body,Emotion,Materiality"
Europe,Mladen Stilinovic,Exploitation of the Dead,https://kadist.org/work/exploitation-of-the-dead/,"Arts,Mass media,Values"
Unspecified,Federico Herrero,Arbol y Pelicao (Tree and Pelican),https://kadist.org/work/arbol-y-pelicao-tree-and-pelican/,"Arts,Space,Materiality"
Americas,Jennifer Allora,Intermission (Halloween Iraq IV),https://kadist.org/work/intermission-halloween-iraq-iv/,"War,Land,Violence"
Americas,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/,"Land,Time,Space"
Europe,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/,"Culture,Arts,Values"
Europe,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/,"Culture,Arts,Values"
Unspecified,Diego Rivera,Shasta,https://kadist.org/work/shasta/,"Land,Technology,Urbanization"
Americas,Bernardo Ortiz,Casa de la cabeza (House of the head),https://kadist.org/work/casa-de-la-cabeza/,"Culture,Mind,Arts"
Unspecified,Gabriel Orozco,Perro en Tlalpan (Dog in Tlalpan),https://kadist.org/work/perro-en-tlalpan-dog-in-tlalpan/,"Land,History,Urbanization"
Unspecified,José Leonilson,O Africano,https://kadist.org/work/o-africano/,"History,Politics,Land"
Americas,Gregory Crewdson,Forest Gathering N.2,https://kadist.org/work/forest-gathering-n-2/,"Fantasy,Arts,Spirituality"
Europe,Michael Craig-Martin,Untitled (violet),https://kadist.org/work/untitled-violet/,"Arts,Design,Mass media"
Europe,Maria Bussman,Search for the origin of the work of art or on the way to Heidegger’s cabin,https://kadist.org/work/search-for-the-origin-of-the-work-of-art-or-on-the-way-to-heideggers-cabin/,"Arts,Mind,Language"
Europe,Zarina Bhimji,Bapa Closed His Heart. It Was Over,https://kadist.org/work/bapa-closed-his-heart-it-was-over/,"Arts,Technology,Language"
