artist_name,title,user_tags,permalink,description,Cluster 1,C/S,Cluster 2,C/S,Cluster 3,C/S
Milena Bonilla,Stone Deaf,"monument.n.02,marxism.n.01,displacement.n.06,intervention.n.01,prominence.n.01,politics.n.01",https://kadist.org/work/stone-deaf/," Milena Bonilla’s discursive practice explores connections among economics, territory, and politics through everyday interventions. Her drawings, sculptures, and photography are active investigations into our often-fallible notions of history.  Stone Deaf  (2009) is a direct intervention into Karl Marx’s gravesite, for which the artist literally traced the history of Marx’s grave. She traveled to Highgate in London seeking the gravesite, only to find a plaque stating that Marx’s remains had been removed in 1954 to another part of the cemetery. She discovered that this had taken place at the behest of the British Communist Party, and that the deceased was now in a more prominent location, marked with a bust and a monument. Bonilla’s rubbing of the original plaque celebrates an anti-monument, so to speak, calling into question Marx’s life and legacy. 
",History,1,Activism,0.6,Politics,0.8
Jennifer Bornstein,Collectors’ Favorites,"throwaway.s.02,television_program.n.01,collection.n.01,everyday.s.01,value.n.03,merchandise.n.01",https://kadist.org/work/collectors-favorites/,"  Collectors’ Favorites  is an episode of local cable program from the mid-1990s in which ordinary people were invited to present their personal collections—a concept that in many ways anticipates current reality TV shows and internet videos. When it comes her turn to “perform,” Bornstein displays mundane and disposable—but elaborately archived or framed—consumer objects such as coffee lids, plastic straws, candy wrappers, and product labels. Through the medium of public broadcasting, then, she makes visual the frequently overlooked but massive cultural penetration of advertising, and its proliferation of “throwaway culture” via images. Further, Bornstein suggests that within a massive and mercurial social network that often places value arbitrarily, any worthless mass-market products can be turned into coveted objects via absurd relations and vice versa. 
   
",Mass media,0.8,Arts,0.5,Technology,0.6
Carlos Garaicoa,From the series the Old and the New (XI),"architecture.n.01,re-formation.n.01,replace.v.01,three-dimensional.s.01,delicate.s.03",https://kadist.org/work/from-the-series-the-old-and-the-new-xi/," From the series the Old and the New (XI) by Carlos Garaicoa belongs to the series Lo viejo y lo nuevo / Das Alte und das Neue (The Old and the New) which was first exhibited in 2010 at Barbara Gross Gallery in Germany. Here, Garaicoa’s interest in vernacular Cuban architecture shifts towards the European context: a series of twelve nineteenth-century French engravings have been reworked into delicate paper models. Here, the two-dimensional old-school architectural renderings have become the foundation for new hollow three-dimensional structures. Reminiscent of pop-up storybooks, the small-scale paper forms have also been augmented with black paper shapes, which both resemble the images in a shadow theater and recall abstract modernist forms. 
   
",Design,0.6,Materiality,0.5,Arts,0.5
Humberto Diaz,3600 besos por hora,"universal.n.03,cuba.n.01,kiss.n.01,island.n.01,isolation.n.01,surveillance.n.01",https://kadist.org/work/3600-besos-por-hora/," The two works in the Kadist collection, Observador Pasivo and 3600 besos por hora by Diaz are culled from a vast compilation of videos and performances for the camera. These are very successful in transcending the local into the global and/or universal. Memory, surveillance, and the routine and/or familiar, life in terms of both the political life and the social collective life shared by the constant reminder of the shut-off island psychological landscape. 
",Body,0.2,Technology,0.3,Mind,0.4
"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,"turf_war.n.01,pollution.n.01,commodity.n.01,globalization.n.01,water.n.01,natural_resource.n.01",https://kadist.org/work/the-nature-of-conflict/," This installation combines the display of real objects with the deceptively painterly  amalgamation of their content as the subject of a photograph. Here Allora   Calzadilla condemn the worldwide threat of violence caused by the high desirability of oil and water. Caught in the light, the patterning of the two liquids in the print creates attractive rainbow-like pools, a distanced comment on pollution. This trace on the ground is an aestheticized piece of evidence of a real heavily loaded problem for nature and society. The artists critical stance is poetically and precisely rendered to encourage debate about politics, power and ecology through art.  
Pure, life-enhancing natural resources are presented as potentially explosive substances in metal or plastic containers. Such absurdity is made visible in the direct dialogue of cause and effect in this presentation which is then amplified by the title, The Nature of Conflict, which adds to the imagination of extended dangerousness. Allora   Calzadilla have created a meaningful and at the same time subtle visual formula for the summary of their alarmed analysis of a current global issue. 
   
   
",Environmental,0.7,War,0.5,Activism,0.4
Anthony Discenza,A Rising Tide Lifts All Boats,"rigmarole.n.01,sales_talk.n.01,idea.n.01,nonsense.n.01,farfetched.s.01,contradiction.n.01",https://kadist.org/work/a-rising-tide-lifts-all-boats/," In Anthony Discenza’s 23-minute audio loop that makes up A Rising Tide Lifts All Boats (2012), a nondescript male voice narrates a series of unlikely pairings: “think Dune meets South Pacific;” “think dubstep meets the Magna Carta;” “think the Food Network meets Igmar Bergman.” Given without inflection or emotion, this recitation uses the structure of a Hollywood elevator pitch to sketch out an unknown project, idea, or structure, conflating and collapsing cultural referents into an implausible mass of contradictions. 
",Culture,0.6,Identity,0.2,Language,0.2
John Baldessari,One Must,"caption.n.03,suggestion.n.04,violence.n.01,text.n.01,riddle.n.01,scissors.n.01",https://kadist.org/work/one-must/," In  One Must , an image of a pair of scissors, accompanied by the words of work’s title, poses an ominous question about the relationship between the image and the text. The otherwise banal scissors become suggestively violent in relation to the text, which was originally the title of a print in Francisco de Goya’s  Disasters of War  series. However, Baldessari is less interested in the logical relationships between text and image than he is with the conceptual leaps that the viewer makes with the limited information provided.  
",Immaterial,0.5,Mind,0.3,Identity,0.3
Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),"architecture.n.02,improvisation.n.01,hair.n.01,cross-cultural.a.01,braid.n.01,west.n.01",https://kadist.org/work/untitled-29/," The headdresses, woven from artificial hair braids, symbolize historical icons including Martin Luther King, Kwame Nkrumah, Fela Kuti and King Guézo of Dahomey. The wigs portraying these grand figures also unambiguously recall Africa to mind. By declaring Cotonou, one of Benin’s cities, the Art Museum of Real Life, and by having thirty white-clad figures wearing Gabas latest series of tresses cross through it, he draws attention to the urban space and its inhabitants’ strategies of survival and improvisation. In doing this, he enquires into alternative models, and into the tasks and local interpretations of the museum: “The micro-macro economy represents the survival of the inhabitants of this city day after day (…) In the city of Cotonou, you can see installations everywhere – it is like an open-air museum.” In this series Meschac Gaba weaves symbolic crowns that suggest a historical character, suggested through one of her or his realizations. Here in the case of former Beninese president Hubert Maga, the hairstyle headdress is woven in the form of a hospital that was built during his reign and was named after him. The forms and styles of braided hairstyles range from purely functional to complex and symbolic: hair can be an indicator of age, authority, social status, religion or even supernatural powers. In cities across Europe and the Americas, African hair braiders produce extravagant creations based on their traditional braiding skills and styles, uniting capitalist commerce with traditional culture. In Gaba´s work, two seemingly divergent products of humankind, hair and architecture, meet as equally significant symbols of modern culture. In making this work, Gaba assumes the role of the  nouveau tresseur  or  tresseuse  (the new braider), a traditional Beninese hair braider, reassigning meaning to architectural forms and cultural experiences. 
",History,0.7,Culture,0.7,Colonization,0.3
Francis Alÿs,Pink Man Walking on Boats with Woman Following,"concept.n.01,sketch.n.01,motion.n.06,raw.s.04,procedure.n.01,shadow.v.01",https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/,,,,,,,
Andrew Grassie,After the Archive Collections Room,"documentation.n.01,space.n.03,transformation.n.05,exhibition.n.01,subsequently.r.01,naturalistic.s.01",https://kadist.org/work/after-the-archive/," In 2008, Grassie was invited by the Whitechapel Gallery to document the transformation of some of its spaces. The artist chose to depict the space before and after, thus creating the series titled After the Archive Collections Room. This group of paintings displays a space locked into time with its scaffolding and broom exposed, depicted just before an exhibition on a collection of archives. 
",Time,0.9,Space,0.6,Arts,0.3
