Artist,Description,Title,user_tags,Ivan Cluster 1,Ivan Cluster 2,Ivan Cluster 3,Vincent Cluster 1,Vincent Cluster 2,Vincent Cluster 3,Marie Cluster 1,Marie Cluster 2,Marie Cluster 3,Kathleen Cluster 1,Kathleen Cluster 2,Kathleen Cluster 3
Abdul Abdullah,"This large portrait of a man, caught as though in mid-conversation, is titled Caliban, after a central character in Shakespeare’s play The Tempest. Caliban is a half-human ‘mooncalf’, son of the witch Sycorax and the sole inhabitant of the island on which he was born until a storm shipwrecks father and daughter, Prospero and Miranda, there. Caliban functions in the play as a ridiculed and disempowered outsider – the ‘other’ to Prospero’s Eurocentric assumption of authority. By dint of its title, Abdul Abdullah’s portrait positions its subject as the marginalised and oppressed figure in an unequal power relation. Abdullah, a seventh-generation Australian of Muslim background, identified with the oppressed Caliban while in high school. He has referenced the character in a number of his works, referring to himself and his brothers in one self-portrait as Sons of Sycorax. Abdullah was 14 when the September 11 terrorist attacks occurred. He came of age at a time of hostility and suspicion towards Muslims in Australia, when, as he has noted, “you couldn’t open a newspaper, turn on the television or listen to the radio without being reminded you were the bad guy and that you were frankly unwelcome. The war on terror felt like a war on you.” The politicisation of his identity as the ‘bad guy’ has led Abdullah to create works – mostly portraits and self-portraits – critiquing Islamophobic depictions of Muslim youth in Australia. His work has challenged viewers’ expectations and assumptions through confronting images of masked people – some in Muslim clothing wearing chimpanzee masks, others in racially vilifying t-shirts and balaclavas decorated with the Australian flag. In both, Abdullah dissects the idea of the faceless mob who defend or disrupt the idea of the Australian nation on the basis of their own biases and prejudices.This portrait of a contemplative man skirts the stereotype by going straight to the individual and the personal – a man who may or may not be Muslim, may or may not be Australian. But, as Caliban, he represents someone who is ostracised and diminished; expressing the experience of many young Muslim Australian men, whose transition into adulthood was coloured by their exclusion from the Australian mainstream.
",Caliban,"Identitity, marginalised, oppressed, Islamphobia, stereotype, prejudice",Identity,Violence,Inequality,Inequality,Identity,Violence,Identity,Inequality,Violence,Identity,Fantasy,Politics
Abdul Abdullah,"The face of Sycorax looms out of the darkness, scrutinising the viewer with an expression that is wary and untrusting. Unlike his other images of masked, menacing and brooding faces, Abdul Abdullah’s portrait suggests a tension between openness and vulnerability, in which the gaze must be returned in equal measure – either accepting or rejecting the individual before us.The title Sycorax refers to the background character in Shakespeare’s play The Tempest, who is the mother of the half-human beast Caliban. Sycorax, already dead when the play’s action begins, is only ever spoken of by others and so exists as the projection of other characters’ memories and assumptions. As such, she functions in a manner not dissimilar to stereotypes of Muslim women in today’s media – effectively silent, and spoken of by others, rather than speaking for herself. In the play Sycorax was herself an Algerian woman, exiled to a distant island, and is thought by some academics to represent anxieties around Islamic influence during Shakespeare’s time. She is characterised in the play as a witch and sorceress – a purveyor of black magic whose claim to the island is countered by the white magic of the European interloper, Prospero. As in media portrayals of Muslim women, Prospero demonises Sycorax as deviant, projecting onto her his own prejudices and anxieties. Abdullah’s portrait articulates his experience of growing up Muslim in the suburbs of Perth in a post-September 11 world, in which he went from feeling part of mainstream Australia to being excluded as one of the ‘bad guys’. Deeply affected by the politicisation of his identity through newsprint, radio and television stereotypes, Abdullah has challenged the bias, bigotry and prejudice which has become a feature of national discourse over the past 13 years. His work is a statement of his identity as both a Muslim and a seventh-generation Australian, and an invitation to people to reconsider their assumptions and expectations of what being Muslim and Australian might be.",Sycorax,"Identity, muslim women, stereotype, mass media, anxiety, prejudice",Identity,Inequality,Violence,Inequality,Identity,Violence,Identity,Inequality,Violence,Identity,Activism,Culture
Vernon Ah Kee,"In fantasies of the good Vernon Ah Kee portrays his family members in 13 charcoal drawings that reference and critique the depiction of Aboriginal people in Australia. These are the first serious portraits undertaken by Ah Kee, whose practice embraces text-based video works and installations. Fantasies of the good originated in Ah Kee’s discovery of photographic portraits of his great-grandfather (George Sibley) and grandfather (Mick Miller) in the collection of the State Library of Queensland. The photographs were taken on the Palm Island Mission in 1938 by Norman Tindale, an anthropologist who documented Aboriginal people all over Australia between 1921 and 1957. While a valuable record of the connection of Aboriginal people to specific lands, Tindale’s photographs also infer an underlying racism in their use of identity numbers rather than names, and their close-cropped mugshot-style format. Ah Kee reclaims these scientific, historic and public photographs of his forebears by hand-drawing them on a large scale and exhibiting them with contemporary portraits of other family members also drawn from photographs. Ah Kee’s meticulous and realistic style retains the objectivity of photography but enables him to emphasise the emotional intensity of his subjects’ piercing gazes. His reclamation of the original photographs also restores them to a family history, rather than a public one, by placing them amongst their kin. The facial resemblances in these compelling portraits suggest an ongoing familial connection, reaffirming the artist’s place within the group and anchoring his position in the world. The portraits of uncles, cousins, brothers and sons are a visual record of the solidarity, continuity and endurance of a single family and, by extension, of Aboriginal culture.",Fantasies of the Good,"Family, endurance, representation, Aboriginal Australia, identity, indigeneity",Familial,Identity,History,Familial,Identity,History,Community,Identity,History,,,
Tony Albert,"The ten photographs in Tony Albert’s work Optimism show a young man wearing a jawun – a traditional woven basket unique to the North Queensland rainforest – on his back. The jawun was made by Albert’s aunt and senior weaver Ninney Murray. The man, the artist’s cousin Ethan Rist, is pictured in a variety of locations – at the football, in a supermarket, at a pool – carrying his jawun in the traditional manner: on the head and hanging down along the back. In each image the jawun is filled with objects from the artist’s daily life: a football and team scarf for the stadium; groceries from the shops; and a towel, flippers and sunblock for the pool. The jawun is a basket specific to Albert’s family’s country around Cardwell in northern Queensland. Albert’s aunt showed him the distinctive basket when he was 12 years old and explained that it had many practical and ceremonial uses. Albert photographed his cousin wearing his aunt’s basket at places Albert frequents daily. By toting it around the urban environment of Brisbane, Albert claims it as a part of everyday life rather than confining it to the realm of traditional culture. As such, he makes a claim for the integration of traditional and urban culture and the continued relevance of Indigenous cultural practices to contemporary life. Through these photographs Albert shares his own stories and that of his family, simultaneously portraying the urban lifestyle in which he grew up and acknowledging his cultural identity.

",Optimism #1,"everyday, tradition, weaving, ceremony, culture, family, urban",Identity,Culture,Familial,Familial,Culture,Urbanization,Culture,Time,Community,Culture,Familial,Community
Khadim Ali,"The Haunted Lotus is a four-panel work that references the destruction of the sixth-century Bamiyan Buddha statues by the Taliban in 2001. In this work a stone Buddha reclines across the length of the four separate images and is covered by scaffolding – echoing the bamboo framework erected by UNESCO after the statues were destroyed – and surrounded by a horde of red devils with angelic white wings. The horizontal position of the Buddha evokes the legend of the 300-metre sleeping Buddha buried beneath Bamiyan Valley. Inscribed across the surface of The Haunted Lotus are excerpts from the tenth-century epic poem Shahnama (The Book of Kings) by Hakim Abol-Qasem Ferdowsi Tusi, alongside other literary and historic texts. The Persian poem has personal significance for Khadim Ali – his grandfather was a traditional singer of the Shahnama and Ali first encountered miniature painting through an illustrated version of the publication.The winged devils in The Haunted Lotus are a potent symbol and appear throughout the artist’s practice. Alluding to both good and evil, these ambiguous figures draw on the figure of Rustam, the heroic warrior of the Shahnama stories. The secular poem is known throughout Iran and Afghanistan, but in recent times the heroic figure of Rustam has been appropriated by Taliban youth who Ali heard declaring in the streets of Quetta: ‘We are the new Rustam! We are the Rustam of Islam!’ Even more shocking for Ali was meeting a young boy in Bamiyan, Afghanistan named Rustam who was unaware of the historic and mythic origin of his name, believing it to be only connected to the Taliban cause. Ali reappropriates and restores the iconic Rustam to his poetic context, updating his epic narrative to reflect contemporary political and cultural issues and the shifting nature of heroism in a war-torn region.",The Haunted Lotus,"Identity, Afhganistan, Buddha, Taliban, mythology, history ",History,Identity,War,Spirituality,Culture,Violence,Identity,Inequality,Spirituality,Culture,Identity,History
Peter Alwast,"Peter Alwast explores the relationship between the real and the virtual through a range of media, including installation, drawing, painting, video and computer graphics. The Night Sky continues his fascination with urban development and the construction of controlled spaces, such as gated communities. The video depicts a new suburban development at night. It is a cityscape devoid of people, with houses that are illuminated but appear empty, as if awaiting their occupants. Above the estate, neon texts float slowly through the air, blinking on and off, lighting up the empty streets. Referencing the language of self-help manuals, the disembodied statements are based on conversations overheard by the artist and explore particular relationships or (dis-)connections with society: ‘I am fat and alone’, or ‘A good dancer is one that shows his own virtuosity as well as dancing with others’.The landscape in The Night Sky offers no warmth or personality – it is a nothing place, like a new estate or gated community. Alwast re-creates the façade of this constructed environment using animation tools that are reminiscent of a real estate industry promotional video. The babbling brook and the click of cicadas is a soundtrack rather than an integral part of the scene. It is a perfect suburban world that is isolating and suffocating. High above the pristine roofs and clean-cut gardens the hopes and dreams of the new inhabitants are broadcast unnoticed and unfulfilled. The prefabricated town of The Night Sky is a constructed and commodified space in which nature itself seems transplanted. Alwast’s work is no celebration of this existence, rather it draws attention to the bleak interior of the new Australian dream.",The Night Sky,"Virtual reality, suburbia, self-help, facade, environment, urban development",Urbanization,Emotion,Fantasy,Urbanization,Culture,Fantasy,Urbanization,Fantasy,Community,Urbanization,Materiality,Environmental
Brook Andrew,"Brook Andrew’s Loop. A Model of how the world operates is part of an ongoing series of wall drawings using black-and-white patterns traditionally carved into shields and trees (dendroglyphs) inspired by his matriarchal Wiradjuri cultural heritage of western New South Wales. In Loop Andrew has overlaid these monochromatic diagonals with slowly throbbing spirals of neon, interspersing traditional memory in order to challenge our relationship to the inheritance of tradition in a society built on activities of trying to forget Aboriginal culture. The oversized diamond patterns create a dazzling optical effect, similar to that seen in 1960s op art. Andrew uses this dazzle, alongside the glowing neon, as a metaphor for our contemporary culture of consumption and spectacle, in which we are mesmerised by consumerism and drawn in by advertising as ways to forget cultural and historical responsibilities. What appears to be an abstract, hard-edge minimalist work is grounded in traditional life and culture; the neon coils, glowing on and off, aim, as Andrew says, ‘to hypnotise. The overall effect: Free will or submission?’ The work is a wall drawing, which is as much an idea as it is an object. It is re-created each time it is shown, and so it responds to the size and condition of its environment, whether inside a museum or outside, with the patterns expanding or contracting in scale to cover the wall. What persists is the push and pull between traditional ways and contemporary culture, looped together in an interaction that Andrew considers to be a model of how the world operates.",Loop. A Model of how the World Operates,"Tension, tradition, modernity, heritage, culture, resilience ",Culture,Familial,History,Culture,Technology,History,Culture,Arts,History,Mass media,History,Culture
Hany Armanious,"This ordinary bedside table has been cast in pigmented expanding foam in a single pour creating the effect of laminated wood veneer. It acts as an informal support for a sculpture of a type of sphinx.

Split Fountain was shown at the 2009 exhibition Uncanny Valley at Roslyn Oxley9 Gallery, Sydney. The title of the exhibition comes from a term coined in the 1970s to describe our antipathy towards things that look almost, but not quite, human: the ‘valley’ is the steep dip in empathy we experience when confronted by a robot or a 3D computer animation of a person that is not wholly convincing.

Split Fountain was one of several sculptures of sphinxes in this exhibition, where the structure of the sphinx serves as a model to explore the dislocation of head and body, object and plinth, both physically and conceptually. In Split Fountain the sphinx has been mirrored doubling the motif so that it resembles the ancient deity Janus, who guards doorways and is usually represented with two faces looking both forward and backward.",Split Fountain,"Uncanny, domestic, everyday, sphinx, antropomorphic, eerie ",Fantasy,Spirituality,Body,Body,Technology,Fantasy,Spirituality,Emotion,Technology,Arts,Design,Body
Benjamin Armstrong,"The misshapen waxen eyes in the glass cones of Old Friends are both comical and unnerving. Forlorn and deflated in their specimen jars, they appear to have popped out of a cartoon character’s head and preserved in glass for future study. Benjamin Armstrong has distorted the perfect sphere of the eyeball into unnervingly malleable shapes, sucked into the hand-blown glass cones like boiled eggs into bottles. The enucleated eye – the eye wholly removed from its socket – is a powerful metaphor in western literature. Sophocles and Shakespeare coupled the violence of torn-out eyes to the insight gained from freedom from worldly illusions in Oedipus Rex and King Lear, while Georges Bataille’s Story of the Eye invokes a set of psycho-sexual associations between eyes, testicles, breasts and eggs. Old Friends alludes to the power of this metaphor in its display of the disembodied eye, detached from its function of reading and looking.

Armstrong’s organic and handmade materials couple the transparency and fragility of glass with the opacity and malleability of wax. They create a sensual impression of natural forms, made strange through distortion and a kind of alienation. The irregular deviations from conical perfection in the hand-blown glass cones give an impression of animated organic forms, like the probing antennae of a slug or the shoot of a tuber reaching towards light. Indeed, light, sight and vision are at the heart of Old Friends. The refractive properties of glass, polished into lenses, extends vision through spectacles, telescopes and microscopes, enabling glimpses of other worlds unavailable to the naked eye. In Old Friends, we see the naked eye, extruded and contained within the glass; behaving as a disembodied vision, seeing that which sees.",Old Friends,"body, symbolism, disembodied, antropomorphic, vision, eyes",Body,Materiality,Fantasy,Body,Materiality,Violence,Culture,Fantasy,Body,Body,Space,Physics
Barbara Cleveland,"In The One Hour Laugh, Barbara Cleveland (formerly Brown Council) – a Sydney-based collaboration of four artists – stand before a video camera and laugh continuously for one hour. Over the course of the hour their laughter moves from genuine hilarity to embarrassment, strain and boredom, becoming forced and faked. The work is part of a practice of live-art performances and collaborations and draws on ideas about spectacle and physical endurance to investigate what it is to perform, and how live performances are documented.

Dressed in homemade costumes, their dunces hats, paper bibs and fake eyebrows enhance the absurdity of their performance, recalling the anarchic theatrics of the Cabaret Voltaire in Zurich in 1916 and the subversive comedy of Groucho Marx. Forcing themselves to laugh for the entire tedium of an hour creates an element of excruciation that situates the work within the lineage of performance art and acts of endurance like those of Marina Abramovic and Ulay in the 1970s and 1980s. But in choosing laughter as their action, and in appearing to enjoy themselves in the process, Barbara Cleveland parody the seriousness and austerity of much performance art and its po-faced documentation.",One Hour Laugh,"Laughter, endurance, comedy, absurdity, performance, spectacle",Emotion,Time,Body,Emotion,Fantasy,Time,Emotion,Body,Community,Emotion,Time,Arts
