metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Power,Time","Time,Power,Arts",2,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/
wup,tags,Fantasy,"Fantasy,Arts,Land",1,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/
wup,tags,Inequality,"Arts,Activism,Geopolitics",0,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/
wup,tags,"Emotion,Fantasy","Materiality,Emotion,Geopolitics",1,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/
wup,tags,Immaterial,"Land,Time,Space",0,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/
wup,tags,"Body,Spirituality","Spirituality,Body,Identity",2,Dominique Zinkpè,Cosmos animiste,https://kadist.org/work/cosmos-animiste/
wup,tags,Materiality,Immaterial,0,Hans Peter Feldmann,Teapot with shadow,https://kadist.org/work/teapot-with-shadow/
wup,tags,Materiality,"Arts,Materiality,Land",1,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/
wup,tags,"Body,Technology","Mass media,Culture,Technology",1,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/
wup,tags,"Physics,Mind","Geopolitics,Body,Environmental",0,Diana Thater,Perpetual Motion Two,https://kadist.org/work/perpetual-motion-two/
wup,tags,Fantasy,"War,Language,Technology",0,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/
wup,tags,"Technology,Economy","Economy,Technology,Arts",2,Daniel Keller,Soft Staycation (Gaze Track Edit),https://kadist.org/work/soft-staycation-gaze-track-edit/
wup,tags,Familial,"Time,Community,Body",0,Michal Chelbin,Strangely familiar: Angelina with her father,https://kadist.org/work/strangely-familiar-angelina-with-her-father/
wup,tags,"Familial,Community","Mind,Culture,Inequality",0,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/
wup,tags,"Mass media,Arts","Arts,Mass media,History",2,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/
wup,tags,"Body,Immaterial","Materiality,Body,Space",1,George Pfau,Decomposing Eternally,https://kadist.org/work/decomposing-eternally/
wup,tags,"Materiality,Design","Land,Urbanization,Arts",0,James Weeks,Man with Blue Tie,https://kadist.org/work/man-with-blue-tie/
wup,tags,"Mass media,Economy","Arts,Economy,History",1,Kan Xuan,Island,https://kadist.org/work/island/
wup,tags,"Space,Immaterial,Emotion","Time,Body",0,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/
wup,tags,"Familial,Materiality","Arts,Materiality,Familial",2,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/
wup,tags,"Materiality,Language","Arts,Language,Materiality",2,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/
wup,tags,"Body,Violence","Violence,Activism,Body",2,Jennifer Locke,Choke,https://kadist.org/work/choke/
wup,tags,Environmental,"Arts,Environmental,Land",1,Robert Zhao Renhui,Expedition #46,https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/
