metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Urbanization,Language,Geopolitics","Time,Power,Arts",0,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/
wup,tags,"War,Power,Fantasy","Fantasy,Arts,Land",1,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/
wup,tags,"Identity,Materiality,Time","Arts,Activism,Geopolitics",0,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/
wup,tags,"Time,Emotion,Mind","Materiality,Emotion,Geopolitics",1,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/
wup,tags,"Immaterial,Time,Mind","Land,Time,Space",1,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/
wup,tags,"Body,Identity,Spirituality","Spirituality,Body,Identity",3,Dominique Zinkpè,Cosmos animiste,https://kadist.org/work/cosmos-animiste/
wup,tags,"Culture,Immaterial,Design",Immaterial,1,Hans Peter Feldmann,Teapot with shadow,https://kadist.org/work/teapot-with-shadow/
wup,tags,"Urbanization,Design,Arts","Arts,Materiality,Land",1,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/
wup,tags,"Body,Community,Language","Mass media,Culture,Technology",0,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/
wup,tags,"Environmental,Time,Physics","Geopolitics,Body,Environmental",1,Diana Thater,Perpetual Motion Two,https://kadist.org/work/perpetual-motion-two/
wup,tags,"History,Environmental,Land","War,Language,Technology",0,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/
wup,tags,"Mass media,Culture,Technology","Economy,Technology,Arts",1,Daniel Keller,Soft Staycation (Gaze Track Edit),https://kadist.org/work/soft-staycation-gaze-track-edit/
wup,tags,"Body,Identity,Familial","Time,Community,Body",1,Michal Chelbin,Strangely familiar: Angelina with her father,https://kadist.org/work/strangely-familiar-angelina-with-her-father/
wup,tags,"Identity,Familial,Community","Mind,Culture,Inequality",0,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/
wup,tags,"Mass media,History,Arts","Arts,Mass media,History",3,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/
wup,tags,"Body,Identity,Mind","Materiality,Body,Space",1,George Pfau,Decomposing Eternally,https://kadist.org/work/decomposing-eternally/
wup,tags,"Culture,Design,Arts","Land,Urbanization,Arts",1,James Weeks,Man with Blue Tie,https://kadist.org/work/man-with-blue-tie/
wup,tags,"Familial,Materiality,Design","Arts,Economy,History",0,Kan Xuan,Island,https://kadist.org/work/island/
