metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Politics,Environmental,Time","Time,Power,Arts",1,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/
wup,tags,"Politics,Fantasy","Fantasy,Arts,Land",1,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/
wup,tags,"Economy,Materiality,Fantasy","Arts,Activism,Geopolitics",0,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/
wup,tags,"Economy,Time,Emotion","Materiality,Emotion,Geopolitics",1,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/
wup,tags,,"Land,Time,Space",0,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/
wup,tags,"Body,Physics,Fantasy","Spirituality,Body,Identity",1,Dominique Zinkpè,Cosmos animiste,https://kadist.org/work/cosmos-animiste/
wup,tags,"Inequality,Community,Time",Immaterial,0,Hans Peter Feldmann,Teapot with shadow,https://kadist.org/work/teapot-with-shadow/
wup,tags,"Economy,Materiality,Physics","Arts,Materiality,Land",1,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/
wup,tags,"Body,Technology,Community","Mass media,Culture,Technology",1,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/
wup,tags,"Emotion,Environmental,Physics","Geopolitics,Body,Environmental",1,Diana Thater,Perpetual Motion Two,https://kadist.org/work/perpetual-motion-two/
wup,tags,"Mass media,Politics,Technology","War,Language,Technology",1,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/
wup,tags,"Body,Technology,Economy","Economy,Technology,Arts",2,Daniel Keller,Soft Staycation (Gaze Track Edit),https://kadist.org/work/soft-staycation-gaze-track-edit/
wup,tags,"Inequality,Familial,Fantasy","Time,Community,Body",0,Michal Chelbin,Strangely familiar: Angelina with her father,https://kadist.org/work/strangely-familiar-angelina-with-her-father/
wup,tags,"Familial,Community,Politics","Mind,Culture,Inequality",0,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/
wup,tags,"Mass media,History,Arts","Arts,Mass media,History",3,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/
wup,tags,"Body,Materiality,Time","Materiality,Body,Space",2,George Pfau,Decomposing Eternally,https://kadist.org/work/decomposing-eternally/
wup,tags,"Urbanization,Emotion,Arts","Land,Urbanization,Arts",2,James Weeks,Man with Blue Tie,https://kadist.org/work/man-with-blue-tie/
wup,tags,"Familial,Economy,Fantasy","Arts,Economy,History",1,Kan Xuan,Island,https://kadist.org/work/island/
wup,tags,"Emotion,Time,Physics","Time,Body",1,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/
wup,tags,"Familial,Materiality,Emotion","Arts,Materiality,Familial",2,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/
wup,tags,"Identity,Language,Materiality","Arts,Language,Materiality",2,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/
wup,tags,"Body,Inequality,Violence","Violence,Activism,Body",2,Jennifer Locke,Choke,https://kadist.org/work/choke/
wup,tags,"Land,Physics,Arts","Arts,Environmental,Land",2,Robert Zhao Renhui,Expedition #46,https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/
wup,tags,"Body,Land,Economy","Familial,Materiality,Immaterial",0,Fernanda Gomes,Untitled,https://kadist.org/work/untitled-14/
wup,description,"History,Politics,Economy","Politics,Economy,History",3,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/
wup,description,"Mass media,Inequality,Economy","Arts,Economy,Time",1,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/
wup,description,"History,Design,Arts","Arts,Urbanization,History",2,Carlos Garaicoa,From the series the Old and the New (XI),https://kadist.org/work/from-the-series-the-old-and-the-new-xi/
wup,description,"Mass media,Politics,Emotion","Land,History,Politics",1,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/
wup,description,"Violence,Environmental,Fantasy","Arts,Economy,Environmental",1,"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,https://kadist.org/work/the-nature-of-conflict/
wup,description,"Mass media,Culture,Language","Mind,Culture,Values",1,Anthony Discenza,A Rising Tide Lifts All Boats,https://kadist.org/work/a-rising-tide-lifts-all-boats/
wup,description,"Violence,Technology,Arts","Arts,Violence,Activism",2,John Baldessari,One Must,https://kadist.org/work/one-must/
wup,description,"Culture,Politics,Power","Arts,Land,Technology",0,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/
wup,description,"Land,Politics,Economy","Culture,Arts,Values",0,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/
wup,description,"Materiality,Time,Arts","Land,Language,Space",0,Andrew Grassie,After the Archive Collections Room,https://kadist.org/work/after-the-archive/
wup,description,"Culture,Design,Arts","Arts,Design,Technology",2,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/
wup,description,"Environmental,Time,Arts","Mind,Culture,Values",0,Joe Scanlan,Spring Line,https://kadist.org/work/spring-line/
wup,description,"Identity,Economy,Design","Emotion,Mind,Community",0,Judy Chicago,"Domes, #1",https://kadist.org/work/domes-1/
wup,description,"Land,Identity,Colonization","Physics,Materiality,Time",0,Felipe Arturo,Primero Estaba el Mar,https://kadist.org/work/primero-estaba-el-mar/
