region,artist_name,title,permalink,user_tags,machine_clusters_from_user_tags,machine_clusters_from_machine_tags,hits,word_count
Americas,"Jennifer Allora, Guillermo Calzadilla",Land Mark (Foot Prints) #12,https://kadist.org/work/land-mark-foot-prints-12/,"demobilization,landscape,footprint,intervention,documentation,trace","Arts,Inequality,Land","Land,Culture",1,247
Unspecified,Gabriel Kuri,Untitled (Ticket Roll),https://kadist.org/work/untitled-ticket-roll/,"everyday,ostentatious,juxtaposition,tension,ephemeral,perennial","Immaterial,Time,Community","Media,Materiality,Language",0,113
Americas,Renee Rhodes,Moving Clocks Change Rhythm,https://kadist.org/work/moving-clocks-change-rhythm/,"map,choreography,perspective,information,video_recording,performance","Arts,Mind,Language","Arts,Land,Space",1,162
Americas,Fiamma Montezemolo,Fireflies,https://kadist.org/work/fireflies/,"survival,adjust,surprise,cancer,deviation,hope","Body,Time,Materiality","Media,Arts,Language",0,127
Europe,Mladen Stilinovic,Exploitation of the Dead,https://kadist.org/work/exploitation-of-the-dead/,"obsoleteness,meaning,collection,circulation,copy,ideology","Arts,Design,Media","Culture,Time,Spirituality",0,209
Unspecified,Federico Herrero,Arbol y Pelicao (Tree and Pelican),https://kadist.org/work/arbol-y-pelicao-tree-and-pelican/,"nature,urban,Central_America,graffito,coexist,abstraction","Arts,Space,Design","Values,Mind,Land",0,100
Americas,Jennifer Allora,Intermission (Halloween Iraq IV),https://kadist.org/work/intermission-halloween-iraq-iv/,"distance,war,costume,Iraq,celebration,play","War,Land,Violence","War,Violence,Community",2,67
Americas,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/,"ambiguous,meaning,everyday,welcome,symbolism,safety","Land,Urbanization,Time","Community,Time,Urbanization",2,105
Europe,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/,"concept,sketch,motion,raw,procedure,shadow","Values,Culture,Geopolitics","Culture,Values,Spirituality",2,0
Europe,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/,"concept,sketch,motion,raw,procedure,strange","Values,Culture,Geopolitics","Culture,Values,Spirituality",2,0
Unspecified,Diego Rivera,Shasta,https://kadist.org/work/shasta/,"dam,interconnection,Latin_America,San_Francisco,machinery,sketch","Land,Technology,Urbanization","Land,Urbanization,History",2,88
Americas,Bernardo Ortiz,Casa de la cabeza (House of the head),https://kadist.org/work/casa-de-la-cabeza/,"life,think,dwell,text,humor,head","Culture,Language,Mind","Arts,Language,Economy",1,40
Unspecified,Gabriel Orozco,Perro en Tlalpan (Dog in Tlalpan),https://kadist.org/work/perro-en-tlalpan-dog-in-tlalpan/,"everyday,urban,sacred,Mexico,humor,monument","Land,Urbanization,History","Land,Urbanization,Design",2,94
