region,artist_name,title,permalink,user_tags,machine_clusters_from_user_tags,machine_clusters_from_machine_tags,hits,word_count
Asia,Kwan Sheung Chi,TWO MILLION (Hong Kong Dollar),https://kadist.org/work/two-million-hong-kong-dollar/,"falsification,globalization,repetition,devaluation,distortion,illusion","Economy,Time,Fantasy","Emotion,Language,Time",1,151
Asia,Pratchaya Phinthong,"What I learned I no longer know; the little I still know, I guessed",https://kadist.org/work/what-i-learned-i-no-longer-know-the-little-i-still-know-i-guessed/,"ephemeral,accumulation,value,art,worthless,Zimbabwe","Arts,Values,Economy","Arts,Economy,Immaterial",2,249
Unspecified,Gabriel Orozco,Perro en Tlalpan (Dog in Tlalpan),https://kadist.org/work/perro-en-tlalpan-dog-in-tlalpan/,"everyday,urban,sacred,Mexico,humor,monument","Emotion,Urbanization,Time","Urbanization,Land,Time",2,94
Unspecified,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/,"materiality,text,disconnected,language,metaphor,cardboard","Language,Materiality","Body,Design,Space",0,78
Europe,Anthony McCall,Line describing a cone,https://kadist.org/work/line-describing-a-cone/,"experience,light,film,shape,geometry,substance","Design,Immaterial,Arts","Arts,Immaterial,Time",2,220
Americas,Chris Johanson,Apartment on Cardboard,https://kadist.org/work/apartment-on-cardboard/,"urban,voyeurism,mundane,architecture,existential,urban","Urbanization,Arts,Body","Environmental,Geopolitics,Design",0,103
Americas,Rachel Foster,Editioned Screenprints,https://kadist.org/work/editioned-screenprints/,"communication,code,imperceptible,language,information,invisible","Language,Technology","Time,Body,Emotion",0,135
Americas,Kristen Morgin,Jeep Comics,https://kadist.org/work/jeep-comics/,"replica,patriotism,comic_strip,materiality,reconstruction,heroism","Identity,Politics,Materiality","Familial,Body,Community",0,49
Unspecified,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/,"monument,Marxism,displacement,intervention,prominence,politics","Politics,History,Geopolitics","History,Arts,Politics",2,143
Americas,Anthony Goicolea,Related 3a,https://kadist.org/work/related-3a/,"ancestry,commemoration,documentation,migration,history,exile","History,Geopolitics","History,Arts,Economy",1,181
Europe,Fabrice Hyber,Valz,https://kadist.org/work/valz/,"skeletal_system,drawing,afterlife,mutation,organic,bodily","Arts,Spirituality","Body,Arts,Economy",1,104
Americas,Ranu Mukherjee,"Color of History, Sweating Rocks",https://kadist.org/work/color-of-history-sweating-rocks/,"hybrid,refugee,industrialization,oil_industry,displacement,animation","Geopolitics,Urbanization,Body","History,Arts,Body",1,43
Americas,Ari Marcopoulos,Jackass,https://kadist.org/work/jackass/,"view,document,adolescent,jack,relax,California",History,"Media,Community,Culture",0,128
Americas,Tim Lee,"Untitled (Buster Keaton, 1897)",https://kadist.org/work/untitled-buster-keaton-1897/,"slapstick,impersonation,iconography,celebrity,reenactment,reinterpretation","Media,History","Arts,Body,Media",1,112
Americas,Colter Jacobsen,Untitled (Untitled Passport II),https://kadist.org/work/untitled-untitled-passport-ii/,"animation,find,film,interact,technology,disused","Arts,Body,Technology",Power,0,141
Europe,Laure Prouvost,Stong Sory Vegetables,https://kadist.org/work/stong-sory-vegetables/,"humor,everyday,fanciful,fragment,spectator,vegetable","Emotion,Time","Body,Community,Fantasy",0,238
Americas,Pascal Grandmaison,Solo,https://kadist.org/work/solo/,"recording_studio,division,repetition,musicianship,detachment,scrutiny",Time,"Body,Time",1,149
Europe,Maria Bussman,Search for the origin of the work of art or on the way to Heidegger’s cabin,https://kadist.org/work/search-for-the-origin-of-the-work-of-art-or-on-the-way-to-heideggers-cabin/,"philosophy,emblem,interpretation,materialization,drawing,reading","Arts,Mind",Arts,1,195
Europe,Michael Craig-Martin,Untitled (violet),https://kadist.org/work/untitled-violet/,"minimalism,delineation,mundane,fork,espresso_maker,violet",,"Power,Mind",0,0
Americas,Jeffry Mitchell,The Swimmer,https://kadist.org/work/the-swimmer/,"swimmer,aboriginal,squat,glaze,wet,earthenware",Colonization,"Spirituality,Time,Environmental",0,52
Americas,Rodney Graham,Dance!!!,https://kadist.org/work/dance/,"western,parody,mythologization,stagy,mythology,American",,"Media,Spirituality,Arts",0,101
Americas,Geoffrey Farmer,Ongoing Time Stabbed with a Dagger,https://kadist.org/work/ongoing-time-stabbed-with-a-dagger/,"play,surrealism,time,kinetic,placement,Magritte",Time,"History,Arts,Mind",0,85
Americas,Mario Ybarra Jr.,Ammo Bunker,https://kadist.org/work/ammo-bunker/,"monument,inscription,Chicano,graffito,detention,Los_Angeles",History,"Community,History,War",1,148
