region,artist_name,title,permalink,machine_clusters
Americas,"Jennifer Allora, Guillermo Calzadilla",Land Mark (Foot Prints) #12,https://kadist.org/work/land-mark-foot-prints-12/,"Inequality,Land,Culture"
Unspecified,Gabriel Kuri,Untitled (Ticket Roll),https://kadist.org/work/untitled-ticket-roll/,"Immaterial,Time,Community"
Americas,Renee Rhodes,Moving Clocks Change Rhythm,https://kadist.org/work/moving-clocks-change-rhythm/,"Mind,Language,Technology"
Americas,Fiamma Montezemolo,Fireflies,https://kadist.org/work/fireflies/,"Body,Time,Materiality"
Europe,Mladen Stilinovic,Exploitation of the Dead,https://kadist.org/work/exploitation-of-the-dead/,"Design,Media,Values"
Unspecified,Federico Herrero,Arbol y Pelicao (Tree and Pelican),https://kadist.org/work/arbol-y-pelicao-tree-and-pelican/,"Space,Design,Materiality"
Americas,Jennifer Allora,Intermission (Halloween Iraq IV),https://kadist.org/work/intermission-halloween-iraq-iv/,"War,Land,Violence"
Americas,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/,"Land,Urbanization,Time"
Europe,Francis Alÿs,Pink Man Walking on Boats with Woman Following,https://kadist.org/work/pink-man-walking-on-boats-with-woman-following/,"Values,Culture,Geopolitics"
Europe,Francis Alÿs,Boat with Legs,https://kadist.org/work/boat-with-legs/,"Values,Culture,Geopolitics"
Unspecified,Diego Rivera,Shasta,https://kadist.org/work/shasta/,"Land,Technology,Urbanization"
Americas,Bernardo Ortiz,Casa de la cabeza (House of the head),https://kadist.org/work/casa-de-la-cabeza/,"Culture,Language,Mind"
Unspecified,Gabriel Orozco,Perro en Tlalpan (Dog in Tlalpan),https://kadist.org/work/perro-en-tlalpan-dog-in-tlalpan/,"Land,Urbanization,History"
Unspecified,José Leonilson,O Africano,https://kadist.org/work/o-africano/,"History,Geopolitics,Politics"
Americas,Gregory Crewdson,Forest Gathering N.2,https://kadist.org/work/forest-gathering-n-2/,"Fantasy,Spirituality,Mind"
Europe,Michael Craig-Martin,Untitled (violet),https://kadist.org/work/untitled-violet/,"Design,Media"
Europe,Maria Bussman,Search for the origin of the work of art or on the way to Heidegger’s cabin,https://kadist.org/work/search-for-the-origin-of-the-work-of-art-or-on-the-way-to-heideggers-cabin/,"Mind,Language,History"
Europe,Zarina Bhimji,Bapa Closed His Heart. It Was Over,https://kadist.org/work/bapa-closed-his-heart-it-was-over/,"Technology,Land,Language"
Europe,Ryan Gander,You see with no lights,https://kadist.org/work/you-see-with-no-lights/,"Design,Technology,Values"
Europe,Charlotte Moth,The Absent Forms,https://kadist.org/work/the-absent-forms/,"Materiality,Mind,Values"
Europe,Douglas Gordon,Blind Spencer (Mirror),https://kadist.org/work/blind-spencer-mirror/,"Body,Media,Culture"
Europe,Tacita Dean,Baobab,https://kadist.org/work/baobab/,"Land,Media,Design"
Europe,Joachim Koester,Tarantism,https://kadist.org/work/tarantism/,"Mind,Power,Spirituality"
Europe,Matthew Darbyshire,Untitled: Furniture Island No. 3,https://kadist.org/work/untitled-furniture-island-no-3/,"Land,Materiality,Culture"
Europe,Tino Sehgal,This exhibition,https://kadist.org/work/this-exhibition/,"Violence,Body,Economy"
Middle East & Africa,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/,"Mind,Culture,Values"
Asia,Vivek Vilasini,Housing Dreams Walls,https://kadist.org/work/housing-dreams-walls/,"Urbanization,Economy,Community"
Middle East & Africa,Meschac Gaba,Hubert Maga (perruque MAVA-musée d'art de la vie active),https://kadist.org/work/untitled-29/,"Technology,Land,Media"
Europe,Haris Epaminonda,Tarahi V,https://kadist.org/work/tarahi-v/,"Urbanization,Land,Technology"
Europe,Haris Epaminonda,Tarahi VI,https://kadist.org/work/tarahi-vi/,"Urbanization,Land,Technology"
Asia,Meiro Koizumi,Inder Kommen Sie / It’s a Comedy,https://kadist.org/work/inder-kommen-sie-its-a-comedy/,"Language,Land,Fantasy"
Europe,Willie Doherty,Out of the Shadows II,https://kadist.org/work/out-of-the-shadows-ii/,"War,Violence,Mind"
Europe,Michael Landy,H.2.N.Y Skeleton of the Dump,https://kadist.org/work/h-2-n-y-skeleton-of-the-dump/,"Technology,History,Mind"
Europe,Francis Alÿs,The Nightwatch,https://kadist.org/work/the-nightwatch/,"History,Economy,Mind"
Europe,Evariste Richer,Cumulonimbus capillatus incus,https://kadist.org/work/cumulonimbus-capillatus-incus/,"Mind,Spirituality,Identity"
Europe,Eric Dizambourg,Le mouton noir,https://kadist.org/work/le-mouton-noir/,"Fantasy,Mind,Spirituality"
Europe,Eric Dizambourg,Greffe sur patte,https://kadist.org/work/greffe-sur-patte/,Land
Americas,Jason Dodge,Above the Weather,https://kadist.org/work/above-the-weather/,"Language,Spirituality,Culture"
Europe,Simon Starling,Nachbau,https://kadist.org/work/nachbau/,"Politics,Economy,History"
Americas,Natasha Wheat,"Be Oblivion, in Disconnect",https://kadist.org/work/be-oblivion-in-disconnect/,"Language,Time,Physics"
Americas,Hank Willis Thomas,I am the Greatest,https://kadist.org/work/i-am-the-greatest/,Environmental
Americas,Jeffry Mitchell,The Carpenter,https://kadist.org/work/the-carpenter/,
Americas,Jeffry Mitchell,Man and Pet,https://kadist.org/work/man-and-pet/,"Economy,Design,Media"
Americas,Jason Meadows,Do Not Pass Go,https://kadist.org/work/do-not-pass-go/,"Fantasy,Spirituality,Economy"
Americas,Colter Jacobsen,Untitled (Untitled Passport II),https://kadist.org/work/untitled-untitled-passport-ii/,"Media,Technology,Inequality"
Europe,Wernor Herzog,Hearsay of the Soul,https://kadist.org/work/hearsay-of-the-soul/,"Technology,Land,History"
Americas,Christopher Badger,Drowned Wood Standing Coiled,https://kadist.org/work/drowned-wood-standing-coiled/,"Materiality,Physics,Fantasy"
Americas,Jeffry Mitchell,The Swimmer,https://kadist.org/work/the-swimmer/,Colonization
Americas,Daniel Joseph Martinez,I used to eat lemon meringue pie till I overloaded on my pancreas with sugar and passed out; It seemed to be a natural response to a society of abundance,https://kadist.org/work/i-used-to-eat-lemon-meringue-pie-till-i-overloaded-on-my-pancreas-with-sugar-and-passed-out-it-seemed-to-be-a-natural-response-to-a-society-of-abundance/,"Power,Media,Time"
Americas,Charles Gaines,"Shadows V, Set of 3",https://kadist.org/work/shadows-v-set-of-3/,"Spirituality,Language,Time"
Europe,Dora Garcia,Klau Mich,https://kadist.org/work/klau-mich/,"Media,Activism,Technology"
Americas,Anthony Goicolea,Related 3b,https://kadist.org/work/related-3b/,"Geopolitics,Time,Activism"
Americas,Anthony Goicolea,Related 3a,https://kadist.org/work/related-3a/,"Geopolitics,Time,Activism"
Middle East & Africa,Walid Raad,Appendix XVIII: Plates,https://kadist.org/work/appendix-xviii-plates/,"Violence,War,Land"
Americas,Chloe Piene,Armless,https://kadist.org/work/armless/,"Design,Media"
Asia,Pratchaya Phinthong,Untitled 2,https://kadist.org/work/untitled-2-2/,"Media,Materiality,Design"
Asia,Pratchaya Phinthong,Untitled 1,https://kadist.org/work/untitled-1/,"Media,Materiality,Design"
Asia,Pratchaya Phinthong,"What I learned I no longer know; the little I still know, I guessed",https://kadist.org/work/what-i-learned-i-no-longer-know-the-little-i-still-know-i-guessed/,"Land,Media,Economy"
Asia,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/,"Power,Language,Time"
Americas,Gabriel Orozco,Columpio,https://kadist.org/work/columpio/,"Land,Urbanization,History"
Americas,Gabriel Orozco,Cemetery #1,https://kadist.org/work/cemetery-1/,"Land,Urbanization,History"
Europe,Jean-Luc Moulène,Le noeud coulant,https://kadist.org/work/le-noeud-coulant/,"Body,Time"
Americas,Raymond Pettibon,Owl,https://kadist.org/work/owl/,"Design,Media,Culture"
Americas,Raymond Pettibon,No Title (Without the comics),https://kadist.org/work/no-title-without-the-comics/,"Culture,Fantasy,Emotion"
Americas,Raymond Pettibon,No Title (Eh What Do?),https://kadist.org/work/no-title-eh-what-do/,"Fantasy,Design,Space"
Americas,Raymond Pettibon,Mushroom Cloud,https://kadist.org/work/mushroom-cloud/,"War,Design,Time"
Americas,Catherine Opie,Raven (gun),https://kadist.org/work/raven-gun/,"Emotion,Community,War"
Americas,Catherine Opie,Alistair Fate,https://kadist.org/work/alistair-fate/,"Culture,Identity,Familial"
Americas,Catherine Opie,Mike and Sky,https://kadist.org/work/mike-and-sky/,"Identity,Body,Mind"
Americas,Shaun O'Dell,Purple Brush 8,https://kadist.org/work/purple-brush-8/,"Technology,Mind,Land"
Americas,Shaun O'Dell,"Temple Creek, a branch of Escalante River, Aquarius Plateau Utah n.d. (Stereoscopic view)",https://kadist.org/work/temple-creek-a-branch-of-escalante-river-aquarius-plateau-utah-n-d-stereoscopic-view/,"Physics,Land,Culture"
Americas,Kristen Morgin,Jeep Comics,https://kadist.org/work/jeep-comics/,"Identity,Materiality,Design"
Americas,Kristen Morgin,Donald of Doom Tank,https://kadist.org/work/donald-of-doom-tank/,"Design,Materiality,War"
Americas,Julio Cesar Morales,Undocumented Intervention,https://kadist.org/work/undocumented-intervention/,"Urbanization,Land,Geopolitics"
Americas,Julio Cesar Morales,Interrupted Passage,https://kadist.org/work/interrupted-passage/,"History,Culture,Colonization"
