artist_name,description,artist_description,title,region,machine_tags,user_tags,image_url,thumbnail,permalink,user_superclusters_formatted,user_superclusters_no_scores,user_superclusters_sum_of_scores,user_clusters_formatted,user_clusters_no_scores,user_clusters_sum_of_scores,machine_superclusters_formatted,machine_superclusters_no_scores,machine_superclusters_sum_of_scores,machine_clusters_formatted,machine_clusters_no_scores,machine_clusters_sum_of_scores,superclusters_fmeasure,clusters_fmeasure
Nora Schultz,"Halfway between a painting and an installation City Sound of Rug gathers found images, synthetic foam, painted metal plates, and prints placed on the floor. Rugs are elements representative of commerce and related to the idea of territory, handicraft and community. In City Sound of Rug, the rugs are used as surfaces upon which prints are manually made. The traces of paint on the synthetic foam and the paint transfers from one rug to another, enable the spectator to see the materials used as tools, elements that constitute the structure of the installation. City Sound of Rug also incorporates advertising billboards of real estate projects. The work focuses on architecture and urbanism. The use of color is essential in this work: the blue, red and green marks become signs and characterize the work like an act of speech.","Born 1975, Frankfurt / Main, Germany   Lives and works in Berlin  Nora Schulz explores the relations between painting, sculpture, performance, and language. She tends to capture the moment where forms become signs and elements of language. She is interested in translation and in the shifts that occur when external realities and cultural patterns are readapted. She mainly works with industrial materials that she collects in the surroundings of her studio in Berlin (metal of all sorts, rugs, shafts, tubes, ropes). Process and shifting are the bases of her practice which concerns transformation within each context. She remodels found objects into abstract sculpted paintings characterized by precarious balance. Her sculptures often end up taking the shape of printing machines, questioning language and the authority of its grammatical forms in an active process of materialisation.",City Song of Rug,Europe,"['sound.n.01', 'print.n.01', 'paint.n.01', 'city.n.01', 'elements.n.01', 'billboard.n.01', 'blue.n.01', 'metallic_element.n.01', 'district.n.01', 'address.n.03', 'trace.n.01', 'representative.s.01', 'red.s.01', 'floor.n.01', 'tool.n.01', 'community.n.01', 'architecture.n.01', 'sign.n.01', 'surface.n.01', 'color.n.01', 'structure.n.01', 'real.a.01', 'undertaking.n.01', 'idea.n.01', 'spectator.n.01']","['territory.n.03', 'tool.n.01', 'commerce.n.01', 'architecture.n.01', 'find.v.01', 'handicraft.n.01']",https://kadist.org/wp-content/uploads/2016/04/46966992230492243169.jpg,https://kadist.org/wp-content/uploads/2016/04/46966992230492243169-300x225.jpg,https://kadist.org/work/city-song-rug/,"['Society/7.793250377073906', 'Cultural/7.611222910216718', 'Material_Physical/7.3267399267399265']","['Society', 'Cultural', 'Material_Physical']",22.73121321403055,"['Land/6.564835164835164', 'Economy/5.424019607843137', 'Arts/4.322058823529412']","['Land', 'Economy', 'Arts']",16.310913596207712,"['Cultural/28.97325468648999', 'Society/27.782778496013794', 'Individual_Personal/18.239907460960097']","['Cultural', 'Society', 'Individual_Personal']",74.99594064346388,"['Urbanization/15.502650290885587', 'Arts/10.756404869640164', 'Land/9.94425052072111']","['Urbanization', 'Arts', 'Land']",36.20330568124686,0.6666666666666666,0.6666666666666666
Paul Czerlitzki,"In this painting made in 2014, which is part of a series started in 2013, the artist dismantles the traditional painting process. Putting aside any formal intervention, the artist lets the membrane slowly soak up white monochrome paint through a transferring technique before removing it. In some places the structure of the canvas can be seen, while other places of the canvas are purposely blurred to evoke the texture of the material used. Although the artist’s actions can seem surprisingly simple, they express an intellectual potential and a visual complexity that allow the spectators, if not force them, to perceive the work in a clear, definite and slow way.","Born 1986 in Danzig, Pologne Lives and works in Düsseldorf and Paris   Paul Czerlitzki’s work takes part in a reflection on painting and its material components. “The artist has therefore selected a methodological process with which he can repeatedly renegotiate, discover and critically examine painting’s material preconditions, i.e., the frame, the canvas and paint, and the objective, namely, to produce a (panel) painting. He dismantles existing orders by using the canvas as a membrane through which to apply or press colours. He also positions the canvas in relation to the space, as in an installation, or else removes it from the frame and mounts it again slightly off.” (Suzanne Friedli and Elisabeth Gerber)",Ohne Tittle,Europe,"['technique.n.01', 'perceive.v.01', 'intervention.n.01', 'complexity.n.01', 'potential.n.01', 'paint.n.01', 'traditional.a.01', 'formal.a.01', 'simple.a.01', 'structure.n.01', 'action.n.01', 'white.a.01', 'procedure.n.01', 'ocular.a.02', 'spectator.n.01', 'material.n.01', 'series.n.01']","['soak.n.01', 'slow.a.02', 'membrane.n.01', 'painting.n.01', 'procedure.n.01', 'nontraditional.a.01']",https://kadist.org/wp-content/uploads/2016/04/paul-czerlitzki-st-2013.jpg,https://kadist.org/wp-content/uploads/2016/04/paul-czerlitzki-st-2013-197x300.jpg,https://kadist.org/work/ohne-tittle/,"['Cultural/12.476062989298287', 'Society/7.2835164835164825', 'Material_Physical/4.24174538911381']","['Cultural', 'Society', 'Material_Physical']",24.00132486192858,"['Arts/6.845537958773253', 'Spirituality/3.257142857142857', 'Culture/2.4349206349206347']","['Arts', 'Spirituality', 'Culture']",12.537601450836744,"['Cultural/21.506349206349213', 'Society/17.03553113553114', 'Politics/13.768584356819654']","['Cultural', 'Society', 'Politics']",52.31046469870001,"['Arts/7.255311355311355', 'Economy/5.598168498168498', 'Spirituality/4.795604395604395']","['Arts', 'Economy', 'Spirituality']",17.64908424908425,0.6666666666666666,0.6666666666666666
Köken Ergun,"The Battle of Karbala was a military engagement that took place on 10 Muharram, 61 AH (October 10th, 680) in Karbala, situated in present day Iraq, when Hussein, the grandson of the prophet Muhammad, was killed. This battle is central to Shia Muslim belief in which Hussein’s martyrdom is commemorated each year, in a celebration called Ashura which symbolises the birth of Muslim division still at issue today between the Shia and Sunni. During Ashura, the artist worked in close collaboration with the people of Zeynebiye (referring to Hussein’s courageous sister, Zeyneb), documenting their preparations for the ceremonies, which involve a mass theatre performance and the isolated, weeping ritual at the end of the Ashura day. What in other countries is celebrated through a collective performance of blood and pain is experienced here through a highly theatrical and emotional day, presenting Islam as the practice of a culture rather than politics. Ergun attempts to question the cultural importance of religions against a “radical secularism” that has ruled Turkey until now.","Born in Istanbul, in 1976, Köken Ergun studied acting and worked with the American theatre director Robert Wilson. He then became interested in contemporary art, especially video and performance. Ergun’s preoccupations are based on forms of contemporary rituals and celebrations, religious or secular, through events such as national holidays, beauty contests or Olympic games. Ergun also collaborates with ethnologists, extending his practice to academia.",Ashura,Middle East & Africa,"['day.n.01', 'battle.n.01', 'performance.n.01', 'collaboration.n.01', 'theater.n.01', 'politics.n.01', 'state.n.04', 'military.a.01', 'issue.n.01', 'attempt.n.01', 'corporate.s.03', 'name.v.01', 'practice.n.01', 'cardinal.s.01', 'cultural.a.01', 'people.n.01', 'culture.n.01']","['islam.n.02', 'culture.n.06', 'ritual.n.02', 'commemoration.n.01', 'shiah.n.01', 'turkey.n.02']",https://kadist.org/wp-content/uploads/2016/04/img_7713_dxo.jpg,https://kadist.org/wp-content/uploads/2016/04/img_7713_dxo-300x200.jpg,https://kadist.org/work/untitled-21/,"['Society/9.856699346405229', 'Individual_Personal/5.715217391304348', 'Cultural/4.423529411764706']","['Society', 'Individual_Personal', 'Cultural']",19.995446149474283,"['Spirituality/4.1152173913043475', 'Culture/3.623529411764706', 'Land/3.5712418300653597']","['Spirituality', 'Culture', 'Land']",11.309988633134413,"['Society/28.884230965113325', 'Cultural/24.45894203835381', 'Individual_Personal/19.18754578754579']","['Society', 'Cultural', 'Individual_Personal']",72.53071879101293,"['Culture/8.591849816849816', 'Spirituality/8.052747252747254', 'Arts/7.873319327731092']","['Culture', 'Spirituality', 'Arts']",24.51791639732816,1.0,0.6666666666666666
Kiran Subbaiah,"Flight Rehearsals focuses on Subbaiah’s desire to fly as a means to highlight the relationship between human ambition and limitations of the physical world. The video presents philosophical explorations of the human desire to defy gravity and time. The minimalist set of a table highlights the intention and persistence of the protagonist rather than technological innovation. The video manipulates the camera angle to distort the appearance of space so that Subbaiah’s repeated attempts at beating gravity can achieve momentary flights. As the flight attempts move into the bedroom, what first appears to be a close up of an alarm clock turns out to be an oversized ringing alarm clock further back to create a distortion of space through manipulations in scale. Such effects highlight both the proximity and distance between apparent success and distorted perception.","Born in Sidpur and living in Bangalore, Kiran Subbaiah works in a variety of media that includes assemblage, video and internet art after initial training as a sculptor. His works examine the relationships of use and value in everyday objects through subverting form and function. Constructing paradoxes through deadpan and humor, Subbaiah’s works also manipulate the object in an act of emancipation in order to highlight art’s autonomy from having to serve a purpose. Moreover, Subbaiah is interested in the relationship between human subjects and their apparent doubles in photography and video.",Flight Rehearsals,Asia,"['flight.n.01', 'attempt.n.01', 'desire.n.01', 'human.a.01', 'percept.n.01', 'angle.n.01', 'space.n.01', 'effects.n.01', 'distance.n.01', 'video.n.01', 'supporter.n.01', 'set.n.01', 'purpose.n.01', 'appearance.n.01', 'scale.n.01', 'physical.a.01', 'relationship.n.01', 'camera.n.01', 'make.v.03', 'time.n.01']","['ambition.n.01', 'distortion.n.05', 'repetition.n.02', 'gravity.n.01', 'minimalism.n.01', 'perception.n.03']",https://kadist.org/wp-content/uploads/2016/04/kiran_subbaiah_flight_rehearsals_web.jpg,https://kadist.org/wp-content/uploads/2016/04/kiran_subbaiah_flight_rehearsals_web-260x300.jpg,https://kadist.org/work/flight-rehearsals/,"['Individual_Personal/9.62893772893773', 'Society/4.0220085470085465', 'Material_Physical/3.746031746031746']","['Individual_Personal', 'Society', 'Material_Physical']",17.396978021978022,"['Emotion/7.171794871794872', 'Culture/2.3777777777777778', 'Physics/1.8888888888888888']","['Emotion', 'Culture', 'Physics']",11.438461538461539,"['Individual_Personal/24.763303363303375', 'Cultural/14.360439560439563', 'Material_Physical/11.011319399554695']","['Individual_Personal', 'Cultural', 'Material_Physical']",50.13506232329763,"['Emotion/12.381618381618384', 'Culture/6.2725274725274724', 'Mind/4.867399267399268']","['Emotion', 'Culture', 'Mind']",23.521545121545124,0.6666666666666666,0.6666666666666666
Marwa Arsanios,"Carlton Hotel project is the second part of a research on the Carlton, an iconic building of modernist architecture from the 1960s in Beirut. Designed by Polish architect Karol Shayer, it was destroyed in 2008 (date of the project’s creation). This project is multifaceted, always transforming into different forms and involving a series of collaborations: the first step took place as part of the “traveling curtains project”, which consisted in recuperating the curtains from the Carlton hotel before its demolition and sending them to different cities throughout the world where they would be subject to new interventions and transformations by artists, among whom Marwa Arsanios.  A video records the collecting of the curtains. The second step consisted in the transformation of the collected curtains, turned into fashionable clothing items. Finally, the work includes an architectural model of the Carlton Hotel.","Marwa Arsanios is born in 1978 in Washington, United-States.Lives and works in Beyrouth, Lebanon.  Marwa Arsanios is based in Beirut, Lebanon. She has just exhibited  (precise time reference) in Sweden (with Maria Lind/Tensta Konsthall) and will take part in the next Sharjah Biennale (2015). In 2013, her work was included in the Future Generation Art Prize event at the 55th Venice Biennale, and received a special award from the Pinchuk Art Foundation. Her work was also included in the Munster Kunstverein, Germany. ‘Jerusalem Show’, East Jerusalem; ‘Subversion’, Cornerhouse, Manchester, UK; and ‘In Other’s Words’, NGBK, Berlin, Germany.",Carlton Hotel project,Americas,"['hotel.n.01', 'undertaking.n.01', 'destroy.v.01', 'creation.n.01', 'collaboration.n.01', 'intervention.n.01', 'capable.s.02', 'iconic.a.01', 'architectural.a.01', 'architecture.n.01', 'model.n.01', 'artist.n.01', 'building.n.01', 'city.n.01', 'form.n.01', 'video.n.01', 'series.n.01']","['transformation.n.05', 'bayrut.n.01', 'curtain.n.01', 'hotel.n.01', 'model.n.04', 'documentation.n.01']",https://kadist.org/wp-content/uploads/2016/04/video_captures_decran.jpg,https://kadist.org/wp-content/uploads/2016/04/video_captures_decran-300x212.jpg,https://kadist.org/work/carlton-hotel-project/,"['Cultural/10.303921568627452', 'Society/4.177777777777778', 'Politics/3.086691086691087']","['Cultural', 'Society', 'Politics']",17.568390433096315,"['Arts/5.048529411764706', 'Urbanization/2.6', 'Design/2.5220588235294117']","['Arts', 'Urbanization', 'Design']",10.170588235294117,"['Cultural/21.34403684550744', 'Society/18.29633160956691', 'Individual_Personal/10.549151158439084']","['Cultural', 'Society', 'Individual_Personal']",50.18951961351344,"['Arts/14.016289592760183', 'Urbanization/6.080672268907563', 'Economy/4.1013736263736265']","['Arts', 'Urbanization', 'Economy']",24.19833548804137,0.6666666666666666,0.6666666666666666
Haig Aivazian,"This work is part of an ongoing project that looks at international sports competitions as a revealing element of nationalistic aspirations which present contradictions.  The starting point of this work was inspired by private companies which were responsible for the security of the Olympic Games in England and also supply equipment for immigrant detention camps and prisons.  This work questions the use of the stadiums other than for sports competitions. Reference is clearly made to the Vélodrome d’Hiver or the detention camps during the Vichy regime under Pinochet or the Talibans but also their requisition during natural disasters like after hurricane Katrina in New Orleans. The lighting creates a frame that obstructs the stadium with a luminous mass in suspension, creating a strange apparition in the darkness and a mixed feeling, between violence and fascination. The title comes from a short poem written by the artist that alludes to separation and distance. These blinding lights replace the moon light. The charcoal is used to create a contrast with this idea of light. This is what remains when the light has been fully consumed and all that is left are ashes. This work is the sequel of a video that dealt with the three adolescents that were electrocuted in Clichy-sous-Bois in 2005 and the protests that followed with the burning of cars.","Haig Aivazian was born in 1980 in Beirut. As an artist and curator he creates installations, drawings, sculpture and performances that connect a political reflection to biographical references.","At every sunset, I think of you. Not because of some sense of beauty, but simply because I become acutely aware of how much time has passed since I last saw you, #3",Middle East & Africa,"['light.n.01', 'dark.n.01', 'protest.n.01', 'prison.n.01', 'car.n.01', 'leave.v.01', 'feeling.n.01', 'company.n.01', 'government.n.01', 'distance.n.01', 'violence.n.01', 'strange.a.01', 'write.v.01', 'contrast.n.01', 'component.n.01', 'private.a.01', 'natural.a.01', 'inspire.v.01', 'mention.n.01', 'frame.n.01', 'undertaking.n.01', 'question.n.01', 'idea.n.01', 'title.n.01', 'make.v.03']","['stadium.n.01', 'nationalism.n.02', 'violence.n.01', 'darkness.n.02', 'separation.n.01', 'catastrophe.n.02']",https://kadist.org/wp-content/uploads/2016/04/at_every_sunset_i_think_of_you1.jpg,https://kadist.org/wp-content/uploads/2016/04/at_every_sunset_i_think_of_you1-300x200.jpg,https://kadist.org/work/every-sunset/,"['Individual_Personal/8.898529411764706', 'Cultural/5.616289592760181', 'Society/5.22469295410472']","['Individual_Personal', 'Cultural', 'Society']",19.739511958629606,"['Mind/2.423529411764706', 'Values/2.4000000000000004', 'Arts/2.3692307692307693']","['Mind', 'Values', 'Arts']",7.192760180995476,"['Individual_Personal/39.24245785174577', 'Cultural/12.145227321697913', 'Politics/11.852073906485673']","['Individual_Personal', 'Cultural', 'Politics']",63.23975907992936,"['Emotion/16.20979020979021', 'Values/7.553199741435035', 'Mind/6.707692307692308']","['Emotion', 'Values', 'Mind']",30.470682258917552,0.6666666666666666,0.6666666666666666
Ming Wong,"Making Chinatown (2012) is a remake of Roman Polanski’s 1974 classic neo-noir film Chinatown. According to Wong, the latter is a “textbook” of Hollywood filmmaking. In Ming’s version, he plays all four main characters portrayed originally by Jack Nicholson, Faye Dunaway, John Huston, and Belinda Palmer, shooting against a backdrop of a film set reproduced as wallpaper in a gallery space. Presented as a seven-channel video installation, Making Chinatown is an immersive viewing experience with different scenarios, lines of conversation, and background music, all merged together into one space where the sense of time collapses. The ending fades to black with no reference of the original film’s site, precisely echoing the fictional nature of Chinatown as a no-place, constructed in an often-detached cultural context.","Ming Wong’s practice has a profound connection with world cinema. Constantly drawing from classic films, Wong investigates issues around identity, linguistics, translation, dislocation, and history through reenactments of well-known films. Often using a deliberately low-budget aesthetic, he restages the films by appropriating and recontextualizing the main storylines and characters. The compelling cultural imaginary created in his films brings forward and wittily satirizes the undermined codes that constitute the infrastructure of our society.",Making Chinatown,Unspecified,"['movie.n.01', 'version.n.01', 'hollywood.n.01', 'space.n.01', 'scenario.n.01', 'line.n.01', 'set.n.01', 'music.n.01', 'fictional.a.01', 'background.n.01', 'construct.v.01', 'original.s.01', 'mention.n.01', 'black.a.01', 'nature.n.01', 'sense.n.01', 'cultural.a.01', 'context.n.01', 'experience.n.01', 'fictional_character.n.01', 'time.n.01', 'video.n.01']","['reenactment.n.01', 'hollywood.n.01', 'dislocation.n.02', 'appropriation.n.03', 'film.n.02', 'narrative.n.01']",https://kadist.org/wp-content/uploads/2016/04/14_-_makingofchinatown2.jpg,https://kadist.org/wp-content/uploads/2016/04/14_-_makingofchinatown2-300x168.jpg,https://kadist.org/work/making-chinatown/,"['Cultural/20.919933154221084', 'Society/5.668975468975469', 'Individual_Personal/4.804010025062657']","['Cultural', 'Society', 'Individual_Personal']",31.392918648259208,"['Media/7.445751633986927', 'Arts/6.589724310776942', 'Fantasy/1.9090909090909092']","['Media', 'Arts', 'Fantasy']",15.94456685385478,"['Cultural/17.030458593693893', 'Individual_Personal/8.910306686777275', 'Material_Physical/5.669455690508322']","['Cultural', 'Individual_Personal', 'Material_Physical']",31.61022097097949,"['Media/5.0970085470085476', 'Culture/4.230769230769231', 'Arts/3.657142857142857']","['Media', 'Culture', 'Arts']",12.984920634920636,0.6666666666666666,0.6666666666666666
"Jennifer Allora, Guillermo Calzadilla","This series of photographs is part of the body of work Allora & Calzadilla made regarding the situation in Vieques, an island off the mainland of Puerto Rico used for the 60 years by the U.S Military and NATO forces to practice military bombing exercises. In 2000, they began a collaboration with the local activists to make the campaign more visible. Having added cast rubber reliefs of their slogans and designs to the soles of their shoes, the activists stamped their protest on the reclaimed land. By slightly manipulating everyday objects to become communication tools, Allora & Calzadilla had created “mobile print-making machines” (Yates McKee, October 133, Summer 2010). They then photographed the ephemeral aftermath of these mark-making actions.  Like graffitied walls, the details of these impressions on sandy grounds are landscapes of dissent, willing the transition of propriety back to the inhabitants. In Land Mark #10, numerous footsteps with long statements stamp their resentment in different confused orientations. Such a beach scene might at first misleadingly be associated with a playful holiday snap. The fragility, uncertainty and relentlessness of this struggle is poetically summarized in this close-up of meaningful site-specific expression. The artists wrote: “How is land differentiated from other land by the way it is marked? Who decides what is worth preserving and what should be destroyed? What are the strategies for reclaiming marked land? How does one articulate an ethics and politics of land use?” (in Land Mark, de Tokyo, Paris, 2006).","Jennifer Allora and Guillermo Calzadilla comprise the artistic duo Allora & Calzadilla. Their work often takes the form of performances, installations, and sound pieces that refer to sociopolitical phenomena and history. Forms from these spheres of life—an overturned tank, a treadmill, a piano—are displaced and spliced together in new configurations, often with performers or viewers engaging with these material segments of the world.",Land Mark (Foot Prints) #10,Americas,"['land.n.01', 'tag.v.01', 'mark.n.01', 'militant.n.01', 'protest.n.01', 'place.n.06', 'statement.n.01', 'series.n.01 photograph.n.01', 'evidence.n.01', 'destroy.v.01', 'collaboration.n.01', 'struggle.n.01', 'scheme.n.01', 'machine.n.01', 'ephemeral.s.01', 'beach.n.01', 'politics.n.01', 'local.a.01', 'playful.a.01', 'passage.n.01', 'island.n.01', 'military.a.01', 'expression.n.01', 'design.n.01', 'tool.n.01']","['demobilization.n.01', 'landscape.n.03', 'footprint.n.02', 'intervention.n.01', 'documentation.n.01', 'trace.n.02']",https://kadist.org/wp-content/uploads/2016/04/img-33.jpg,https://kadist.org/wp-content/uploads/2016/04/img-33-300x228.jpg,https://kadist.org/work/land-mark-foot-prints-10/,"['Cultural/4.920751633986928', 'Politics/2.467760180995475', 'Society/1.75']","['Cultural', 'Politics', 'Society']",9.138511814982403,"['Arts/4.0318627450980395', 'Inequality/1.6985294117647058', 'Land/1.0']","['Arts', 'Inequality', 'Land']",6.730392156862745,"['Cultural/21.695151743681162', 'Politics/10.98035312640576', 'Society/8.793595602883528']","['Cultural', 'Politics', 'Society']",41.46910047297045,"['Arts/5.534640522875817', 'Technology/4.580882352941177', 'Land/4.283516483516483']","['Arts', 'Technology', 'Land']",14.399039359333475,1.0,0.6666666666666666
Tim Lee,"In the film Untitled (Buster Keaton, 1897) (2010), we see Tim Lee fall down a flight of stairs, referencing a pivotal story from Buster Keaton’s life: At the age of 18 months, he rolled down a flight of stairs, casually shrugged it off, and was then and there christened with the nickname “Buster” by Harry Houdini. Lee’s film is spliced together from multiple takes of him actually rolling his way up a staircase. Sped up and played in reverse in a continuous loop, it is convincingly Keaton-esque in its slapstick humor. Lee completes the effect by mounting the 16-millimeter projector on a specially constructed stepped sculpture.","Vancouver-based artist Tim Lee employs a wide range of media, including photography, video, installation, and performance to revisit and reinterpret—often humorously—particular historical moments through a constellation of references.","Untitled (Buster Keaton, 1897)",Americas,"['flight.n.01', 'multiple.a.01', 'play.v.01', 'age.n.01', 'movie.n.01', 'construct.v.01', 'narrative.n.01', 'sculpture.n.01', 'life.n.01']","['slapstick.n.01', 'impersonation.n.03', 'iconography.n.01', 'celebrity.n.01', 'reenactment.n.01', 'reinterpretation.n.02']",https://kadist.org/wp-content/uploads/2016/04/tim_lee_untitled_buster_keaton.jpg,https://kadist.org/wp-content/uploads/2016/04/tim_lee_untitled_buster_keaton-300x297.jpg,https://kadist.org/work/untitled-buster-keaton-1897/,"['Cultural/19.319247874588438', 'Individual_Personal/7.165914786967418', 'Society/6.436363636363637']","['Cultural', 'Individual_Personal', 'Society']",32.92152629791949,"['Arts/10.402978033318591', 'Media/4.236904761904762', 'History/3.2363636363636363']","['Arts', 'Media', 'History']",17.876246431586992,"['Cultural/12.814763177998472', 'Material_Physical/4.213675213675214', 'Individual_Personal/3.4666666666666672']","['Cultural', 'Material_Physical', 'Individual_Personal']",20.495105058340354,"['Arts/6.800116713352007', 'Media/3.327777777777778', 'Materiality/2.435897435897436']","['Arts', 'Media', 'Materiality']",12.563791927027221,0.6666666666666666,0.6666666666666666
Juan Capistran,"White Minority, is typical of Capistran’s sampling of high art genres and living subcultures in which the artist subsumes an object’s high art pedigree within a vernacular art form. Here, Capistran humorously remixes the form and style of Frank Stella’s Black Paintings with California punk rock band Black Flag’s song title and logo (created by artist Raymond Pettibon). White Minority, then, appropriates, recontextualizes, and riffs on language and visual signs to unmoor notions of identity, power, and revolution.","Born in Guadalajara, Mexico, and raised in South Central Los Angeles, Juan Capistran was undocumented until midway through grade school. As a teenager he gravitated toward graffiti, punk rock, reggae, house music, and DJ culture as tools for crafting a hybrid identity. His work has diverse influences, from Malcolm X to Led Zeppelin and Richard Serra, and it quotes keenly and democratically, from gang colors to minimalist forms.",White Minority,Americas,"['white.n.01', 'black.n.01', 'form.n.01', 'typical.a.01', 'flag.n.01', 'california.n.01', 'rock.n.01', 'language.n.01', 'sign.n.01', 'identity.n.01', 'power.n.01', 'impression.n.01', 'manner.n.01', 'ocular.a.02', 'title.n.01', 'make.v.03']","['sample.v.01', 'race.n.03', 'stella.n.01', 'white_race.n.01', 'punk_rock.n.01', 'vernacular.n.02']",https://kadist.org/wp-content/uploads/2016/04/capistranwhiteminority.jpg,https://kadist.org/wp-content/uploads/2016/04/capistranwhiteminority-245x300.jpg,https://kadist.org/work/white-minority/,"['Cultural/4.394957983193278', 'Individual_Personal/1.8888888888888888']","['Cultural', 'Individual_Personal']",6.283846872082167,"['Language/3.571428571428571', 'Identity/1.8888888888888888', 'Culture/0.8235294117647058']","['Language', 'Identity', 'Culture']",6.283846872082166,"['Individual_Personal/14.873071373071378', 'Material_Physical/12.640170940170943', 'Cultural/8.287870789341378']","['Individual_Personal', 'Material_Physical', 'Cultural']",35.8011131025837,"['Identity/7.136441336441337', 'Space/6.346153846153846', 'Language/3.5359477124183005']","['Identity', 'Space', 'Language']",17.018542895013482,0.8,0.6666666666666666
