artist_name,description,artist_description,title,region,machine_tags,user_tags,image_url,thumbnail,permalink,user_superclusters_formatted,user_superclusters_no_scores,user_superclusters_sum_of_scores,user_clusters_formatted,user_clusters_no_scores,user_clusters_sum_of_scores,machine_superclusters_formatted,machine_superclusters_no_scores,machine_superclusters_sum_of_scores,machine_clusters_formatted,machine_clusters_no_scores,machine_clusters_sum_of_scores,superclusters_fmeasure,clusters_fmeasure
Köken Ergun,"The Battle of Karbala was a military engagement that took place on 10 Muharram, 61 AH (October 10th, 680) in Karbala, situated in present day Iraq, when Hussein, the grandson of the prophet Muhammad, was killed. This battle is central to Shia Muslim belief in which Hussein’s martyrdom is commemorated each year, in a celebration called Ashura which symbolises the birth of Muslim division still at issue today between the Shia and Sunni. During Ashura, the artist worked in close collaboration with the people of Zeynebiye (referring to Hussein’s courageous sister, Zeyneb), documenting their preparations for the ceremonies, which involve a mass theatre performance and the isolated, weeping ritual at the end of the Ashura day. What in other countries is celebrated through a collective performance of blood and pain is experienced here through a highly theatrical and emotional day, presenting Islam as the practice of a culture rather than politics. Ergun attempts to question the cultural importance of religions against a “radical secularism” that has ruled Turkey until now.","Born in Istanbul, in 1976, Köken Ergun studied acting and worked with the American theatre director Robert Wilson. He then became interested in contemporary art, especially video and performance. Ergun’s preoccupations are based on forms of contemporary rituals and celebrations, religious or secular, through events such as national holidays, beauty contests or Olympic games. Ergun also collaborates with ethnologists, extending his practice to academia.",Ashura,Middle East & Africa,"['day.n.01', 'performance.n.01', 'theater.n.01', 'mass.n.01', 'collaboration.n.01', 'military.a.01', 'politics.n.01', 'corporate.s.03', 'issue.n.01', 'name.v.01', 'attempt.n.01', 'state.n.04', 'cardinal.s.01', 'practice.n.01', 'cultural.a.01', 'culture.n.01', 'people.n.01']","['islam.n.02', 'culture.n.06', 'ritual.n.02', 'commemoration.n.01', 'shiah.n.01', 'turkey.n.02']",https://kadist.org/wp-content/uploads/2016/04/img_7713_dxo.jpg,https://kadist.org/wp-content/uploads/2016/04/img_7713_dxo-300x200.jpg,https://kadist.org/work/untitled-21/,"['Society/9.856699346405229', 'Individual_Personal/5.715217391304348', 'Cultural/4.423529411764706']","['Society', 'Individual_Personal', 'Cultural']",19.995446149474283,"['Spirituality/4.1152173913043475', 'Culture/3.623529411764706', 'Land/3.5712418300653597']","['Spirituality', 'Culture', 'Land']",11.309988633134413,"['Cultural/24.45894203835381', 'Society/24.06805449452509', 'Individual_Personal/19.18754578754579']","['Cultural', 'Society', 'Individual_Personal']",67.71454232042468,"['Culture/8.591849816849816', 'Spirituality/8.052747252747254', 'Arts/7.873319327731092']","['Culture', 'Spirituality', 'Arts']",24.51791639732816,1.0,0.6666666666666666
Lucia Madriz,"In her geometric paintings on wood panel, Madriz employs the Fibonacci numbers to illustrate, in simplified form, the pattern of natural plant growth—beginning from a single stem, and growing exponentially, rationally, and efficiently outward from there. Tinting the underlying wood but not covering it, Madriz’s delicate cubes seem to hover on the surface of the warm wood surfaces, drawing more attention to the grain and its own natural pattern. Always drawing the attention back to the natural world, Madriz’s multimedia works aim to reassert the natural, and our own links to it.","Born in Costa Rica and living in Germany, artist Lucía Madriz has a global perspective. Her videos, paintings, and installation works deal with issues of global concern—specifically agriculture, genetically modified crops, and the sustainability of our shared natural resources. Her interest in these issues has led her, in recent years, to develop installation projects where images are formed out of careful arrangements of seeds, grains, and dried beans—crops that sustain life in most of the globe’s cultures, and ones that are heavily implicated in the United State’s experiments with genetic modification.",Untitled,Americas,"['wood.n.01', 'natural.a.01', 'form.n.03', 'attention.n.01', 'surface.n.01', 'geometric.s.01', 'purpose.n.01', 'plant.n.01', 'individual.a.01', 'form.n.01']","['design.n.04', 'nature.n.03', 'agribusiness.n.01', 'sustainability.n.01', 'acculturation.n.02', 'botanic.a.01']",https://kadist.org/wp-content/uploads/2016/04/img_lucia_madriz_untitled-child_of_threetree11_web.jpg,https://kadist.org/wp-content/uploads/2016/04/img_lucia_madriz_untitled-child_of_threetree11_web-300x200.jpg,https://kadist.org/work/untitled-lucia-madriz/,"['Individual_Personal/11.728205128205133', 'Cultural/8.842490842490841', 'Material_Physical/7.505685618729097']","['Individual_Personal', 'Cultural', 'Material_Physical']",28.07638158942507,"['Economy/5.931219073324336', 'Mind/4.774358974358975', 'Culture/3.6025641025641026']","['Economy', 'Mind', 'Culture']",14.308142150247413,"['Cultural/11.094871794871798', 'Society/5.51025641025641', 'Individual_Personal/4.8981684981684985']","['Cultural', 'Society', 'Individual_Personal']",21.50329670329671,"['Mind/4.128937728937729', 'Design/3.3076923076923075', 'Culture/3.107692307692308']","['Mind', 'Design', 'Culture']",10.544322344322346,0.6666666666666666,0.6666666666666666
Cheryl Donegan,"Fashion is the focus of Blood Sugar, which consists of a video projected onto a vintage vinyl jacket set at torso height on a dressmaker’s dummy. As suggested by the work’s title, Cheryl Donegan uses the body as a metaphor, relating the continuous cycle and recycle of images that characterizes consumer fashion culture to the flow of sugar in our blood. Formally, the work borrows strategies from conceptual art, and specifically video art from the 1960s and 1970s—such as the use of repetition, patterns, found materials, and a DIY, low-tech aesthetic—and combines it with contemporary cultural forms, in this case, the world of fashion.  In the video, as runway models emerge and recede into darkness, digitally inserted images of fabric patterns appear, hover across the screen and dissipate to the sound of a repetitive beat. As the video progresses, footage of a child wearing aluminum foil as clothes and another scene with a group of women wearing ornate dresses is overlaid with a collage of images of consumer objects and commercial spaces. The result is a an meditation on fashion’s most essential elements: fabric, the body and the mediated image.","Cheryl Donegan is best known for her performance and video works that deal primarily with ideas of sex, gender, and the ways in which the female body is represented both in art and more broadly across popular culture. During the 1990s, Donegan’s practice was influenced by of a range of movements that brought into question aspects of feminism, identity politics and politically engaged art—the underground feminist hardcore punk movement Riot Girl, and the grunge, slacker, and DIY cultures among them.  Donegan often uses her body as an apparatus for mark making, incorporating performative actions that are captured by the camera and that result in or relate to process paintings and drawings. Combining these bodily gestures with found consumer objects and imagery, her works interrogate the conventions of different forms of popular culture such as music videos and advertising, while at the same time considering the politics of self-representation.  Most recently, she has continued her exploration of the mediated image, mark marking and its relationship to the body through a series of paintings and sculptures, as well as videos distributed on social media.",Blood Sugar,Americas,"['manner.n.01', 'form.n.03', 'video.n.01', 'body.n.01', 'image.n.01', 'dark.n.01', 'scheme.n.01', 'conceptual.s.01', 'repeat.n.01', 'put.v.01', 'footage.n.01', 'fabric.n.01', 'model.n.01', 'metaphor.n.01', 'screen.n.01', 'collage.n.01', 'child.n.01', 'sound.n.01', 'elements.n.01', 'consequence.n.01', 'woman.n.01', 'contemporary.s.01', 'cultural.a.01', 'culture.n.01', 'title.n.01']","['fashion.n.03', 'consumerism.n.01', 'body.n.01', 'design.n.04', 'picture.n.01', 'aesthetic.n.01']",https://kadist.org/wp-content/uploads/2017/02/IMG_BLOOD_SUGAR_ED1_alternative_dressform-WEB.png,https://kadist.org/wp-content/uploads/2017/02/IMG_BLOOD_SUGAR_ED1_alternative_dressform-WEB-200x300.png,https://kadist.org/work/blood-sugar/,"['Cultural/10.469902792426012', 'Material_Physical/9.472027972027973', 'Individual_Personal/4.379084967320262']","['Cultural', 'Material_Physical', 'Individual_Personal']",24.321015731774246,"['Space/6.346153846153846', 'Design/5.361344537815126', 'Economy/2.6783216783216783']","['Space', 'Design', 'Economy']",14.38582006229065,"['Cultural/19.90928858722977', 'Material_Physical/16.602863802863805', 'Individual_Personal/11.718381927669855']","['Cultural', 'Material_Physical', 'Individual_Personal']",48.23053431776343,"['Mind/7.395604395604397', 'Space/6.346153846153846', 'Design/5.6867772750125685']","['Mind', 'Space', 'Design']",19.42853551677081,1.0,0.6666666666666666
Yang Xinguang,"Although seemingly unadorned at first glance, Yang Xinguang’s sculptural work Phenomena (2009) employs minimalist aesthetics as a means of gesturing towards the various commonalities and conflicts between civilization and the natural world. Comprised of rudimentary planks of wood hammered together into a rectangular form, Yang’s work uses reclaimed materials from everyday life and seems deliberately in conversation with Arte Povera, the art movement that originated in Italy during the late 1960s where practitioners produced art from found and common materials as an act of resistance against the decided commercialization of the art world through market economies. Yang, by extension, pays close attention to his materials in attempt to release the forms within them rather than impose his own. He rarely adds anything to the materials that he uses; instead, he chisels, pares and scrapes the excess away, allowing his completed works to emerge through a combination of happenstance and almost meditative handwork. In Phenomena, Yang’s handwork becomes apparent in a constellation-like form scratched into the wood. Suddenly, the nails and knots in the wood’s surface become vertices in a larger web of connecting lines, suggesting the inexorable interconnections between our alternately fabricated and naturally occurring environments. Rather than privileging one over the other, Yang’s work invites us to contemplate these relationships and how these coessential phenomena define our existence.","Yang Xinguang is an artist whose work explores the interconnections between the natural world fabricated materials in a post-industrialist society. His work is deliberately restrained and frequently uses reclaimed materials such as found wood planks, a gesture that recalls the Arte Povera movement’s commitment to using un-rarified and common materials in art making practice. His work is also deeply invested in exploring the phenomenological relationship between viewers and artworks, and his sculptural installations gesture towards Minimalist traditions, inviting viewers to pause and consider their own relationship to their surrounding space. Yang is a graduate of the Central Academy of Fine Arts in China. He has exhibited extensively throughout China and has had international exhibitions at venues such as Artissima, Turin, and Art 41 Basel in Switzerland.",Phenomena,Asia,"['wood.n.01', 'phenomenon.n.01', 'material.n.01', 'form.n.01', 'everyday.s.01 life.n.01', 'brooding.s.01', 'market.n.01', 'glance.n.01', 'being.n.01', 'aesthetics.n.01', 'combination.n.01', 'late.a.01', 'conversation.n.01', 'economy.n.01', 'common.a.01', 'resistance.n.01', 'sculptural.a.01', 'line.n.01', 'attention.n.01', 'natural.a.01', 'environment.n.01', 'attempt.n.01', 'everyday.s.01', 'surface.n.01', 'relationship.n.01']","['object.n.01', 'surface.n.01', 'everyday.s.03', 'modernism.n.01', 'commonplace.s.01', 'criticism.n.02']",https://kadist.org/wp-content/uploads/2016/04/xinguang_yang_phenomena_web.jpg,https://kadist.org/wp-content/uploads/2016/04/xinguang_yang_phenomena_web-300x200.jpg,https://kadist.org/work/phenomena/,"['Cultural/12.249811463046761', 'Society/3.91025641025641', 'Material_Physical/3.888888888888889']","['Cultural', 'Society', 'Material_Physical']",20.04895676219206,"['Arts/6.40365761689291', 'Economy/2.371794871794872', 'Design/2.307692307692308']","['Arts', 'Economy', 'Design']",11.08314479638009,"['Cultural/34.32537754643018', 'Society/22.92159244264508', 'Individual_Personal/19.357857931542142']","['Cultural', 'Society', 'Individual_Personal']",76.6048279206174,"['Arts/10.502789023841656', 'Economy/8.431501831501834', 'Time/7.828571428571428']","['Arts', 'Economy', 'Time']",26.76286228391492,0.6666666666666666,0.6666666666666666
Raphaël Zarka,"This photograph seems to be awaiting meaning, it more or less evokes known elements without really identifying with them completely: a motorway interchange, a bridge, an electric pylon… In fact this is the end of the tracks of the Aérotrain, a wheelless monorail invented by Jean Bertin in the 1970s, which acts like ‘a fossil of movement on landscape scale’, as explained by the artist. This fragmentary place is meant to activate physical movement. It also activates the spectator’s imagination.  The series Les formes du repos is a photographic collection of concrete geometric objects, in undefinable spaces, set aside or in waiting. The photographic document allows the display of these ‘involuntary sculptures’. Paired down geometric forms (whether modernist or futurist) appear tensely in their decor (a field, several buildings on the horizon). This photograph is key in the series, since the tracks are no longer an object but a space. The positioning of the shot emphasises the fragmentary character, the tracks only lead to an empty decor. Observing this defunct functionality, the artist, with Vincent Lamouroux, created Pentacycle (a mono terrain vehicle, 2002) in order to reactivate movement on this ruin.","Raphaël Zarka presents himself as a sculptor and artist-collector. He scrutinises the contemporary world to draw up a genealogy of geometric forms. He is constantly noticing Plato’s polyhedrons (speculative geometric forms) materialized in concrete breakwaters (Les formes du repos series/The Forms of Rest). His work highlights the fact that the ‘survival of forms’ (Aby Warburg) takes place in today’s world in functional and concrete environments. The artist acts with the curiosity of the Renaissance humanists in their studio (Studiolo, 2008), but he has adopted a thinking structure where dichotomies and the methodological boundaries of Art History are banned. With his typical transversal approach, the artist has started theoretical research into the urban practice that is skateboard by publishing essays and realizing artistic projects. In Riding modern art  (Lyon Biennale, 2007), he confronts photographs of the skaters performing on public sculptures with a sculpture by Katarzyna Kobro. The confrontation underlines that the movement is either of aesthetic potential for modern sculpture or a mechanical realization for skating. “It’s almost an insult to the mysteries of the world to think that we could invent anything or that we needed to invent anything”; this quote by Borgès has become the artist’s motto.Raphaël Zarka was born in 1957 in Montpellier, France. Lives and works in Paris.",Les formes du repos #3,Europe,"['geometric.s.01', 'motion.n.03', 'photographic.a.01', 'object.n.01', 'field.n.01', 'imagination.n.01', 'display.n.01', 'space.n.01', 'photograph.n.01', 'put.v.01', 'scale.n.01', 'physical.a.01', 'shooting.n.01', 'document.n.01', 'series.n.01', 'building.n.01', 'cardinal.s.01', 'elements.n.01', 'meaning.n.01', 'fictional_character.n.01', 'spectator.n.01', 'sculpture.n.01', 'landscape.n.01', 'form.n.01']","['obsoleteness.n.01', 'monorail.n.01', 'landscape.n.01', 'architecture.n.01', 'space.n.03', 'function.n.02']",https://kadist.org/wp-content/uploads/2016/04/img-65.jpg,https://kadist.org/wp-content/uploads/2016/04/img-65-300x198.jpg,https://kadist.org/work/les-formes-du-repos-3/,"['Material_Physical/6.741025641025641', 'Society/4.915262515262515', 'Cultural/2.6985294117647056']","['Material_Physical', 'Society', 'Cultural']",14.354817568052862,"['Land/3.3076923076923075', 'Urbanization/3.258119658119658', 'Arts/2.6985294117647056']","['Land', 'Urbanization', 'Arts']",9.26434137757667,"['Cultural/26.71059577677226', 'Material_Physical/12.944786079074007', 'Individual_Personal/11.766289592760181']","['Cultural', 'Material_Physical', 'Individual_Personal']",51.421671448606446,"['Arts/10.995537958773255', 'Fantasy/6.853871292106586', 'Land/5.109920634920635']","['Arts', 'Fantasy', 'Land']",22.959329885800475,0.6666666666666666,0.6666666666666666
Wadada Leo Smith,"Kosmic Music is a musical score comprised of two parts: a single mixed media drawing titled Colors and Satellites, and a pair of mixed media drawings titled Koral Reef. Conceived of together as a single musical score, the three drawings exemplify a specific stage in the evolution of Wadada Leo Smith’s Ankhrasmation Language, which he has been developing since 1967.  Although at first glance the works in Kosmic Music might appear abstract compositions drawn on paper, as with other scores produced by Smith, suggestions of musical structures are revealed upon closer inspection: an entanglement of musical sheets and bright geometric forms.  The artist activates these works by performing the scores live, sometimes accompanied by other musicians who are familiar with his Ankhrasmation Language and can follow the cues from the formal and musical components of the works. As described by Smith: “the scores are constructed in a way that can be used to produce music, but the music itself is not on the score. The score is this doorway where you become aware of elements like structure, shapes, color and [the] connection of those shapes and colors and lines and dots. You have to transform that into some kind of reference, [and] then you’re able to actually get to the music.”","Wadada Leo Smith is an avant-garde jazz musician, composer, educator and visual artist, celebrated for his creative and unconventional approach to music.  Over the past 50 years, a focal point of his practice has involved the ongoing research and development of his own musical language, which he calls Ankhrasmation: a neologism formed from the terms ‘Ankh,’ the Egyptian symbol for life, ‘Ras,’ the Ethiopian word for leader, and ‘Ma,’ a universal term for mother. This language is characterized by musical scores that avoid (and at times, incorporate) traditional notationsin favor of symbolic compositions of color, line, and shape. Improvisational elements of jazz are woven into Smith’s colorful pieces, some of the scores taking up to several days to perform. These vibrant constructions are filled with energy and mystery, providing creative guidance for the seasoned improviser while allowing musicians to bring their own expertise and strengths to their performance.",Kosmic Music,Americas,"['mark.n.01', 'music.n.01', 'colors.n.01', 'produce.v.01', 'individual.a.01', 'language.n.01', 'structure.n.01', 'shape.n.01', 'medium.n.01', 'drawing.n.01', 'transform.v.01', 'glance.n.01', 'sheet.n.01', 'pull.v.01', 'pair.n.01', 'component.n.01', 'uncover.v.01', 'familiar.a.01', 'phase.n.01', 'specific.a.01', 'connection.n.01', 'formal.a.01', 'line.n.01', 'abstract.a.01', 'color.n.01']","['music.n.01', 'language.n.01', 'drawing.n.01', 'geometric.s.01', 'performance.n.01', 'structure.n.01']",https://kadist.org/wp-content/uploads/2017/02/IMG_21432-01-WEB.jpg,https://kadist.org/wp-content/uploads/2017/02/IMG_21432-01-WEB-233x300.jpg,https://kadist.org/work/kosmic-music/,"['Cultural/15.247496947496952', 'Society/5.051282051282051', 'Individual_Personal/0.8571428571428571']","['Cultural', 'Society', 'Individual_Personal']",21.15592185592186,"['Arts/8.743223443223442', 'Economy/2.371794871794872', 'Design/2.307692307692308']","['Arts', 'Economy', 'Design']",13.422710622710623,"['Cultural/27.899570853982627', 'Society/8.31196581196581', 'Individual_Personal/8.04807153630683']","['Cultural', 'Society', 'Individual_Personal']",44.259608202255265,"['Arts/9.445787545787546', 'Media/7.531108597285066', 'Design/4.931221719457014']","['Arts', 'Media', 'Design']",21.908117862529625,1.0,0.6666666666666666
Kwan Sheung Chi,"Kwan Sheung Chi’s work One Million is a video work depicting the counting of bills. Divided into three versions, the video first shows a number of Japanese ten-thousand-yen bills being counted without in an orderly, efficient manner. In Two Million, a similar counting of one-thousand-dollar bills from Hong Kong follows. However, a closer viewing of the videos reveal that they were created by looping the same scene of moving fingers, giving the illusion that many bills are being counted when, in fact, only a few are in the scene. Beyond commenting on the illusions of transactions and interdependencies in a regional economy, the video calls attention to the way media distort quantity as well as manipulations of values occurring with the transcoding of economic units into visual data. The false appearance of accountability presented in One Million and Two Million highlight the instability underlying the desire for convenience and efficiency in a globalized, media-dependent economy.","Kwan Sheung Chi obtained a third honor B.A. degree in Fine Art from The Chinese University of Hong Kong. In 2003, Kwan manufactured an exhibition history and CV for himself, hosting a retrospective as first solo show towards the end of art school in order to critique the unspoken conventions of the contemporary art system. In general, Kwan’s works explore the nexus between art and text and use repetition as a constant measure of time and a metaphor for life as he states: “Repetition gives the work power.” He is especially interested in how meaning is constructed, who makes art, and the interaction of other people, places and things as part of the work’s cultural context.",ONE MILLION (Japanese Yen),Asia,"['illusion.n.01', 'economy.n.01', 'scene.n.01', 'video.n.01', 'version.n.01', 'appearance.n.01', 'japanese.a.01', 'desire.n.01', 'attention.n.01', 'economic.a.01', 'medium.n.01', 'manner.n.01', 'ocular.a.02', 'make.v.03']","['money.n.01', 'medium.n.10', 'economy.n.01', 'delusion.n.03', 'data.n.01', 'political.a.02']",https://kadist.org/wp-content/uploads/2016/04/02_web-1.jpg,https://kadist.org/wp-content/uploads/2016/04/02_web-1-300x169.jpg,https://kadist.org/work/one-million-japanese-yen/,"['Cultural/5.514285714285714', 'Society/3.6025641025641026', 'Material_Physical/2.3692307692307697']","['Cultural', 'Society', 'Material_Physical']",11.486080586080586,"['Economy/3.6025641025641026', 'Media/2.0', 'Technology/1.8571428571428572']","['Economy', 'Media', 'Technology']",7.45970695970696,"['Individual_Personal/18.127650127650135', 'Cultural/14.542830209006683', 'Material_Physical/11.324542124542127']","['Individual_Personal', 'Cultural', 'Material_Physical']",43.99502246119894,"['Emotion/12.381618381618384', 'Media/6.849789915966386', 'Economy/3.371794871794872']","['Emotion', 'Media', 'Economy']",22.603203169379643,0.6666666666666666,0.6666666666666666
Hiraki Sawa,"Hako (2006) depicts a mysterious and dystopic landscape where the world becomes flat: distance between different spaces, depth of field and three-dimensional perceptions are canceled. Interiors of a Victorian doll’s house, a rippled seascape, a palm tree forest, and a gravel seashore are superimposed, morphing into each other. The hermetic narrative is charged with psychological and mythological aspects. Hako reflects Sawa’s interests in psychotherapies, in particular, the sand tray therapy, also known as sandplay, created by Dora Kalff. Sandplay asks participants to create their own arrangement of objects in a sandbox by choosing from a wide range of small figures to which the subconscious attaches symbolic meanings. Echoing this process, Sawa creates his imaginary dimensions where rules and selected elements allow for improvisation and play to reveal unconscious processes. Certain elements give visual clues and metaphorically comment on issues such as the hybridity of the human and the non-human. This is indicated by walking trees and a miniature toy clock that is animated to keep real world time in order to ponder the illusionary concept of linear time. Reality is not scientific. As the fantastical becomes everyday and the supernatural becomes commonplace, so does the reverse.","London-based Japanese artist Hiraki Sawa’s video installations and filmic works probe landscapes, psychological dreamlands, domestic interiors, imaginary spaces, ideas of displacement and migration, and above all, the inner self. He weaves animals, people, plants, animated and inanimate objects into a series of surreal sequences to create enigmatic and immersive worlds of sound and image. Employing a combination of digital editing and hand-made methods of cutting, pasting and collaging, Sawa highlights the ambiguous boundaries between facts and fictions and meditates on how remembrance and memory can be manipulated by time, emotion and mental influences.",Hako,Asia,"['tree.n.01', 'elements.n.01', 'procedure.n.01', 'make.v.03', 'rule.n.01', 'psychological.s.01', 'field.n.01', 'agreement.n.04', 'distance.n.01', 'uncover.v.01', 'percept.n.01', 'dimension.n.01', 'time.n.01', 'aspect.n.01', 'symbolic.a.01', 'concept.n.01', 'play.n.01', 'house.n.01', 'issue.n.01', 'inspire.v.01', 'real.a.01', 'everyday.s.01', 'meaning.n.01', 'world.n.03', 'ocular.a.02']","['percept.n.01', 'psychotherapy.n.01', 'symbolism.n.01', 'unconscious_mind.n.01', 'supernatural.n.01', 'fiction.n.01']",https://kadist.org/wp-content/uploads/2016/04/hiraki_sawa_hako_2006_web.jpg,https://kadist.org/wp-content/uploads/2016/04/hiraki_sawa_hako_2006_web-300x225.jpg,https://kadist.org/work/hako/,"['Cultural/12.830128205128206', 'Individual_Personal/8.491350316350315', 'Material_Physical/1.7142857142857142']","['Cultural', 'Individual_Personal', 'Material_Physical']",23.035764235764237,"['Fantasy/7.291666666666667', 'Mind/5.847119547119546', 'Culture/3.076923076923077']","['Fantasy', 'Mind', 'Culture']",16.21570929070929,"['Individual_Personal/32.94148172089349', 'Cultural/29.591686418157014', 'Material_Physical/9.843986568986569']","['Individual_Personal', 'Cultural', 'Material_Physical']",72.37715470803707,"['Mind/13.143864468864471', 'Culture/12.61868131868132', 'Values/9.008089133089134']","['Mind', 'Culture', 'Values']",34.770634920634926,1.0,0.6666666666666666
Taiki Sakpisit,"A Ripe Volcano, a collaboration with Yasuhiro Morinaga, revisits two sites of violence and aggression in Thailand’s recent past: The Rattanakosin Hotel, the site where the military troops captured and tortured the civilians, students and protestors who were hiding inside the hotel during the Black May of 1992; and Ratchadamnoen Stadium, a Roman amphitheater-style Muay Thai boxing arena, which was built in 1941-45 during the Second World War and since then has become the theatrical labyrinth for more acculturated and commercially “acceptable” displays of bloodshed. The work builds around the recollections of human experiences that took place within these spaces and shifts through the mental space distilled from the possessed memory of wounded time. Within the medium of the multi-channel video/ sound installation, Sakpisit and Morinaga create dreamlike variations sprawling through darkened room where the haunting images and ambient sounds float through the space, creating an exquisitely hypnotizing experience. A Ripe Volcano is an allegorical revelation where Bangkok becomes a site of mental eruption and the emotionally devastated land during the heights of terrors, primal fears, trauma, and the darkness of time. Through a rich use of saturated color and diffuse light, the film evocatively recalls the histories of the various figures – soldiers, protestors, boxers, and spectators – whose traumatic experiences still haunt the empty rooms they once occupied. The remains of these intense experiences and traces of memories are rendered here through a kind of imaginative cinematic re-embodiment, the physical and psychological pain and suffering transformed into the dreamlike landscape of images. A Ripe Volcano, by extension, both pays tribute to these embodied histories while also creating a new space for healing through artistic expression and creative connection with audiences.","Taiki Sakpisit is a filmmaker and media-based artist whose work explores depictions of violence and unease that emerged from the political upheaval in Thailand from the late 1980s to the present day. A deftly skilled editor, his work frequently incorporates sophisticated use of montage and soundscape to produce experiences that are both sensually resonate and narratively disjointed as part of a larger strategy to disorient audiences and engage them in heightened modes of viewership. Sakpisit has screened his films extensively in venues throughout Southeast Asian and has been included in festivals at the Tokyo Metropolitan Museum of Art, the Gio Verona Video Festival, and the Birbeck Institute for the Moving Image, London.",A Ripe Volcano,Asia,"['experience.n.01', 'sound.n.01', 'space.n.01', 'memory.n.01', 'soldier.n.01', 'transform.v.01', 'psychological.s.01', 'dark.n.01', 'injury.n.01', 'fear.n.01', 'history.n.01', 'creative.a.01', 'shift.n.01', 'display.n.01', 'collaboration.n.01', 'military.a.01', 'black.n.01', 'trace.n.01', 'connection.n.01', 'time.n.01', 'land.n.01', 'expression.n.01', 'audience.n.01', 'physical.a.01', 'violence.n.01']","['violence.n.01', 'aggression.n.01', 'military.n.01', 'history.n.01', 'bloodshed.n.01', 'wound.n.01']",https://kadist.org/wp-content/uploads/2016/04/a_ripe_volcano_06_web.jpg,https://kadist.org/wp-content/uploads/2016/04/a_ripe_volcano_06_web-300x84.jpg,https://kadist.org/work/a-ripe-volcano/,"['Society/10.387563843703298', 'Material_Physical/3.3090909090909095', 'Politics/2.541176470588235']","['Society', 'Material_Physical', 'Politics']",16.237831223382443,"['Violence/6.77162181471779', 'Time/2.509090909090909', 'War/1.7826086956521738']","['Violence', 'Time', 'War']",11.063321419460872,"['Individual_Personal/18.719394640447277', 'Material_Physical/12.900630088865386', 'Society/11.606011635423402']","['Individual_Personal', 'Material_Physical', 'Society']",43.22603636473606,"['Emotion/10.543223443223445', 'Violence/5.567550096961861', 'Time/5.101851090086384']","['Emotion', 'Violence', 'Time']",21.21262463027169,0.6666666666666666,0.6666666666666666
Adrian Villar Rojas,"The two drawings in the Kadist Collection are part of a larger series entitled Las Mariposas Eternas (The Eternal Butterflies). They are studies for two large sculptures that explore the role of monuments and emblems in the configuration of Latin American national identities. The first drawing reproduces an equestrian statue of Juan Lavalle, one of Argentina’s independence heroes. The second drawing shows a Japanese anime character riding a monster, suggesting how an equestrian monument in a globalized future would look like.","Adrian Villar Rojas’s sculptures and drawings envision the end of human civilization. Based on historical prophecies and fantasy, the artist creates apocalyptic scenarios that posit an enigmatic world plagued by social, political, and environmental upheaval.",From the series Las Mariposas Eternas (the Eternal Butterflies),Unspecified,"['memorial.n.03', 'drawing.n.01', 'national.a.01', 'survey.n.01', 'japanese.a.01', 'future.n.01', 'american.a.01', 'function.n.03', 'identity.n.01', 'fictional_character.n.01', 'sculpture.n.01', 'series.n.01']","['dystopia.n.01', 'memorial.n.03', 'future.n.01', 'history.n.01', 'identity.n.01', 'emblem.n.01']",https://kadist.org/wp-content/uploads/2016/04/adrian_villar_rojas_from_the_series_las_mariposas_eternas1.jpg,https://kadist.org/wp-content/uploads/2016/04/adrian_villar_rojas_from_the_series_las_mariposas_eternas1-201x300.jpg,https://kadist.org/work/from-the-series-las-mariposas-eternas/,"['Material_Physical/7.567210567210568', 'Individual_Personal/7.197979797979798', 'Cultural/6.702564102564103']","['Material_Physical', 'Individual_Personal', 'Cultural']",21.467754467754467,"['Time/5.197979797979798', 'Identity/4.797979797979798', 'Design/2.533333333333333']","['Time', 'Identity', 'Design']",12.529292929292929,"['Cultural/10.766289592760183', 'Individual_Personal/8.800594177064765', 'Material_Physical/6.67800269905533']","['Cultural', 'Individual_Personal', 'Material_Physical']",26.244886468880278,"['Arts/7.51220462543992', 'Identity/4.797979797979798', 'Time/3.488888888888889']","['Arts', 'Identity', 'Time']",15.799073312308606,1.0,0.6666666666666666
