artist_name,description,artist_description,title,region,machine_tags,user_tags,image_url,thumbnail,permalink,user_superclusters_formatted,user_superclusters_no_scores,user_superclusters_sum_of_scores,user_clusters_formatted,user_clusters_no_scores,user_clusters_sum_of_scores,machine_superclusters_formatted,machine_superclusters_no_scores,machine_superclusters_sum_of_scores,machine_clusters_formatted,machine_clusters_no_scores,machine_clusters_sum_of_scores,superclusters_fmeasure,clusters_fmeasure
Karl Haendel,"Haendel’s series Knights (2011) is a set of impeccably drafted, nine-foot-tall pencil drawings depicting full suits of armor. The series riffs on previous investigations by the artist such as his meticulous depictions of masculine political figures, which included a headless J. Edgar Hoover and a Hitler head floating vulnerably in the center of a white expanse (Hitler’s iconic mustache was crafted from the artist’s pubic hair). Rendered in soft graphite, the imposing Knights embody the ostensibly conflicting ideals of chivalrous deference and invulnerable masculinity.","An expert draftsman well versed in semiotics, Karl Haendel strategically manipulates tangled visual, material, and textual themes, often to humorous and evocative effect. His juxtapositions are as resonant as they are unexpected, whether they take the form of layered graphite drawings, video, or installation. Haendel’s distinct brand of honest humor, honed in his current hometown of Los Angeles, is rooted in the rigorous studies he undertook at Brown University (BA), UCLA (MFA), and the Whitney Independent Study Program.",Knight #6,Americas,"['hair.n.01', 'probe.n.01', 'soft.a.01', 'render.v.01', 'head.n.01', 'set.n.01', 'center.n.01', 'iconic.a.01', 'series.n.01', 'white.a.01', 'political.a.01', 'figure.n.01', 'drawing.n.01']","['epic.s.01', 'masculinity.n.02', 'vulnerability.n.01', 'drawing.n.02', 'invulnerability.n.02', 'armor.n.01']",https://kadist.org/wp-content/uploads/2016/04/karl_haendel_knight6_0.jpeg,https://kadist.org/wp-content/uploads/2016/04/karl_haendel_knight6_0-235x300.jpeg,https://kadist.org/work/knight-6/,"['Cultural/4.615686274509804', 'Individual_Personal/2.347008547008547', 'Politics/2.307692307692308']","['Cultural', 'Individual_Personal', 'Politics']",9.27038712921066,"['Identity/2.347008547008547', 'Power/2.307692307692308', 'Design/1.8823529411764706']","['Identity', 'Power', 'Design']",6.537053795877325,"['Material_Physical/4.764835164835165', 'Cultural/2.569230769230769', 'Society/2.426373626373626']","['Material_Physical', 'Cultural', 'Society']",9.76043956043956,"['Land/2.307692307692308', 'Arts/1.7692307692307692', 'Space/1.657142857142857']","['Land', 'Arts', 'Space']",5.734065934065933,0.3333333333333333,0.0
Michelle Handelman,"In Dorian, a cinematic perfume, video is used as a community gatherer, a tool to speak about particular subcultures, in this case the trans-gender drag queen New York community, past and present. Developed from a literary work, it deconstructs notions of narrative forms, styles and conventions. It is a hybrid piece, an example of the elasticity of the medium.Performance rules in the work and so does presence, theatrical presence, with the invitation to cast the performers as themselves, to bring to the work their own making this work a very fascinating manifestation of a true collaboration with the erasure of authorship.",,"Dorian, a cinematic perfume",Americas,"['community.n.01', 'presence.n.01', 'performer.n.01', 'rule.n.01', 'collaboration.n.01', 'bring.v.01', 'cinematic.a.01', 'new_york.n.01', 'york.n.01', 'tool.n.01', 'narrative.s.01', 'impression.n.01', 'manner.n.01', 'form.n.01', 'piece.n.01', 'video.n.01']","['collaboration.n.01', 'drag.n.04', 'authorship.n.02', 'authorship.n.02', 'performance.n.03', 'deconstruction.n.01']",https://kadist.org/wp-content/uploads/2016/04/michelle_handelman_dorianportrait_copy.jpg,https://kadist.org/wp-content/uploads/2016/04/michelle_handelman_dorianportrait_copy-300x169.jpg,https://kadist.org/work/dorian-a-cinematic-perfume/,"['Society/4.76017316017316', 'Cultural/4.1397687280040225', 'Material_Physical/3.9365079365079363']","['Society', 'Cultural', 'Material_Physical']",12.836449824685118,"['Time/2.4126984126984126', 'Language/1.658119658119658', 'Colonization/1.6363636363636365']","['Time', 'Language', 'Colonization']",5.707181707181707,"['Individual_Personal/12.728479853479852', 'Society/7.0229419703103915', 'Cultural/6.254700854700855']","['Individual_Personal', 'Society', 'Cultural']",26.0061226784911,"['Values/5.932142857142857', 'Urbanization/5.134053081421502', 'Mind/3.5604395604395602']","['Values', 'Urbanization', 'Mind']",14.62663549900392,0.6666666666666666,0.0
Julius Koller,"Anti-Happening refers to Koller’s 1965 manifesto, ‘Anti-Happening (System of Subjective Objectivity)’. In opposition to the notion of a ‘happening’ as a way of actualising group identity, in his manifesto, Koller stated that his concept of the ‘anti-happening’ aimed at a ‘cultural reshaping of the subject, at awareness, at the surroundings and the real world’ [i]. Unlike happenings, these actions do not involve the staging of psychologically expressive performances.  As the art historian Piotr Petrowski has noted, it is part of ‘an attitude that aims to erase the boundaries between different art tendencies (art and anti-art, modernist and neo-avant-garde painting), between different forms of neo-avant-garde practice (performance, conceptual art, Fluxus) and, above all, between art and life’[ii].  [i] Kathrin Rhomberg and Roman Ondák (eds.), Julius Koller: Univerzálne Futurologické Operácie, Cologne 2003. p.126.    [ii] Piotr Piotrowski, In the Shadow of Yalta: Art and the Avant-Garde in Eastern Europe, 1945–1989, London 2009.","In its stringency, obsession and peculiarity, the oeuvre of Julius Koller is one of the most idiosyncratic and consistent in European art since the 1960s. Yet Koller is not only a seminal figure in the history of the neo- and post-avant-garde; his work has long been a critical inspiration for artists and intellectuals. In the most recent past, Koller’s concepts of the Anti-Happening, the Anti-Picture, the Universal-cultural Futurological Operation (U.F.O.), his actions, objects, texts and the enormous referential archive he built up, have attracted growing interest on the part of a broader art public.  From around 1960, in response to the modernist mainstream in Slovak art, Julius Koller began to develop his aesthetic position of the “antihappening.” His strategy consists in using real objects and everyday life as the predefined program for an aesthetic operation: from 1965, in texts rubberstamped on paper that refer to the context of the “anti-happening,” and then in 1967/1968 in pictures for which Koller used white latex paint instead of oils and which saw the first appearance of the question mark—the symbol of Koller’s brands of naming, or “making known,” that was later to undergo many mutations in various media and states of aggregation. The “invitation cards for an idea”—as Koller called the text works relating to the “anti-happenings”—and the palimpsests and serial arrangements of the “anti-pictures” set themselves apart from the academicism of Modernism in more than just formal terms. Koller foregoes every form of technical mastery. The “anti-pictures” are amateurish in style, ensuring that they fulfill their task, defined by Koller as “engaging rather than arranging.”Julius Koller was born in 1939 in Piestany, Slovakia. He died in 2007 in Bratislava.",Anti-Happening,Europe,"['performance.n.01', 'resistance.n.01', 'europe.n.01', 'conceptual.s.01', 'london.n.01', 'concept.n.01', 'shadow.n.01', 'identity.n.01', 'practice.n.01', 'real.a.01', 'action.n.01', 'impression.n.01', 'cultural.a.01', 'subject.n.01', 'form.n.01', 'life.n.01']","['practice.n.04', 'manifesto.n.01', 'openness.n.01', 'humor.n.04', 'happening.n.01', 'imagination.n.02']",https://kadist.org/wp-content/uploads/2016/04/antihappening_1965_card.jpg,https://kadist.org/wp-content/uploads/2016/04/antihappening_1965_card-300x211.jpg,https://kadist.org/work/anti-happening/,"['Individual_Personal/6.607843137254902', 'Material_Physical/6.58997668997669', 'Politics/3.2750000000000004']","['Individual_Personal', 'Material_Physical', 'Politics']",16.47281982723159,"['Time/3.3116550116550116', 'Mind/1.7411764705882353', 'Spirituality/1.6333333333333333']","['Time', 'Mind', 'Spirituality']",6.68616481557658,"['Individual_Personal/28.72105672105673', 'Cultural/26.777650290885592', 'Society/20.782162608633204']","['Individual_Personal', 'Cultural', 'Society']",76.28086962057553,"['Culture/9.819322344322345', 'Values/8.684981684981684', 'Identity/5.567210567210567']","['Culture', 'Values', 'Identity']",24.071514596514596,0.3333333333333333,0.0
Young-Hae Chang Heavy Industries,"Pacific Limn weaves together three narratives that comment on hyper-capitalism pan-Pacific cities that San Francisco exemplifies. Each of the large works comprise of moving images overlaid with giant text, all synched to a stealthy, up-tempo jazz soundtrack. In The Secret Life of Harumi, a Japanese woman fantasizes escaping her job and living a temporary dream life in San Francisco. Young-Hae Chang Heavy Industries (YHCHI) uses locally sourced virtual products such as Adobe Flash animation and Apple’s Monaco or Menlo typeface to create a whimsical and indirect commentary on the psychology of the working class in an information society within postindustrial imperialism. For two months, YHCHI inhabited the economically polarized South of Market neighborhood, where a variety of socioeconomic realities overlap and coexist, from Facebook employees to the homeless. The Flash animation is influenced by realist cinema and depicts the tediousness in commuting by air and ground combined with the kitsch of an “Asia-town” window display. Overlaid with text-like femslash prose in a semi-coherent style of karaoke lyrics, the sensory cacophony disrupts a viewer’s thoughts and alludes to a desensitized boredom mixed with the desires of the alternative persona of a fictional Japanese woman.","Young-Hae Chang Heavy Industries is a Seoul-based Web art group consisting of Young-hae Chang and Marc Voge formed in 1999. Chang is a Korean artist and translator with a Ph.D in aesthetics from Universite de Paris I, and Marc Voge is an American poet living in Seoul. Their work tends to combine text with jazz to create Flash animation pieces. This combination is a simple technique that shuns interactivity, graphics, photos, illustrations, banners, colors, but at the same time transgresses the boundaries between digital animation, motion graphics, experimental video, i-movies, and e-poetry.",PACIFIC LIMN,Asia,"['japanese.a.01', 'san_francisco.n.01', 'woman.n.01', 'window.n.01', 'film.n.02', 'life.n.01', 'virtual.s.01', 'air.n.01', 'market.n.01', 'display.n.01', 'south.n.01', 'dream.n.01', 'land.n.04', 'fictional.a.01', 'desire.n.01', 'society.n.01', 'manner.n.01', 'world.n.03', 'narrative.n.01', 'city.n.01', 'make.v.03', 'spectator.n.01']","['fantasy_life.n.01', 'gentrification.n.01', 'desensitization.n.01', 'line.n.05', 'animation.n.05', 'kitsch.n.01']",https://kadist.org/wp-content/uploads/2016/04/japan_1_web.jpg,https://kadist.org/wp-content/uploads/2016/04/japan_1_web-300x169.jpg,https://kadist.org/work/pacific-limn/,"['Cultural/13.015452847805792', 'Individual_Personal/3.202614379084967', 'Material_Physical/2.3790849673202614']","['Cultural', 'Individual_Personal', 'Material_Physical']",18.59715219421102,"['Arts/6.131302521008403', 'Language/2.666666666666667', 'Fantasy/2.593954248366013']","['Arts', 'Language', 'Fantasy']",11.391923436041083,"['Individual_Personal/23.158175158175165', 'Cultural/19.75951287274817', 'Society/18.017289452893166']","['Individual_Personal', 'Cultural', 'Society']",60.9349774838165,"['Emotion/13.181618381618385', 'Land/11.20237017884077', 'Media/8.072125260360554']","['Emotion', 'Land', 'Media']",32.45611382081971,0.6666666666666666,0.0
Felipe Arturo,"Defined as entropy, the second law of thermodynamics proposes that energy is more easily dispersed than it is concentrated. One basic illustration of entropy is to imagine white and black sand: once mixed together, it is highly unlikely that the contrasting grains of sand can be separated and restored to their original distinct color groups. Arturo’s Trópico Entrópico (Entropic Tropics, 2012) considers the colonization of the American continent as a similarly irreversible process of cultural entropy. His inspiration derives from a place near Manaus in the Brazilian Amazon, where the Black River meets with the sandy-colored Solimões River, producing a river of two colors that extends over ten kilometers. In the late nineteenth century, the Brazilian rubber barons decided to commemorate this impressive natural phenomenon by covering the main square of Manaus with a design of black-and-white waveforms made from stones. The square is known as the Encontro das aguas (Meeting of the Waters). Decades later, Roberto Burle Marx used this same pattern in his famous Copacabana walkway in Rio de Janeiro. Since then, the design has spread across the continent to Lima, Bogotá, Cali, and beyond. Trópico entrópico uses this pattern to produce entropy in the exhibition space. Sugar, the material used, signifies one of many economic motivators for colonialism. Visitors are invited to collectively dissolve this modern design by walking on the brown and white sugar, and participating in its entropic mixing.","Felipe Arturo considers elements from urbanism, architecture, and art in relation to politics, history, geography, and economy. His works and projects often manifest as sculptures, installations, or videos, departing from concepts such as structure, sequence, and matter. They are deeply influenced by vernacular architecture and construction techniques, and reflect processes of assimilation and resistance to colonial and postcolonial processes. He frequently combines the language and materials of Modernism (e.g., concrete) with the informal methods of autoconstrucción (self-construction).",Trópico entrópico,Americas,"['design.n.01', 'square.n.01', 'form.n.03', 'white.a.01', 'invite.v.01', 'black.n.01', 'visitor.n.01', 'phenomenon.n.01', 'produce.v.01', 'imagine.v.01', 'century.n.01', 'economic.a.01', 'rock.n.01', 'colors.n.01', 'celebrated.s.01', 'natural.a.01', 'american.a.01', 'modern.a.01', 'color.n.01', 'original.s.01', 'black.a.01', 'cultural.a.01', 'procedure.n.01', 'material.n.01', 'space.n.01']","['disorder.n.01', 'sugar.n.01', 'colonialism.n.01', 'form.n.03', 'floor.n.01', 'history.n.01']",https://kadist.org/wp-content/uploads/2016/04/felipe_arturo_tropico_entropico_web.jpg,https://kadist.org/wp-content/uploads/2016/04/felipe_arturo_tropico_entropico_web-300x200.jpg,https://kadist.org/work/tropico-entropico/,"['Society/7.5523257616136865', 'Politics/4.016965490649701', 'Cultural/2.6527777777777777']","['Society', 'Politics', 'Cultural']",14.222069030041165,"['Violence/2.4656346749226006', 'Power/2.307692307692308', 'History/1.7777777777777777']","['Violence', 'Power', 'History']",6.551104760392686,"['Cultural/15.068060044530636', 'Material_Physical/14.653724053724059', 'Individual_Personal/11.372161172161174']","['Cultural', 'Material_Physical', 'Individual_Personal']",41.09394527041587,"['Space/7.235042735042734', 'Arts/5.534640522875817', 'Time/4.123809523809524']","['Space', 'Arts', 'Time']",16.893492781728074,0.3333333333333333,0.0
Qiu Anxiong,"A Portrait: Covering and Cleaning is an installation of six black-and-white video projections. Each video depicts a portrait with features changing continuously and quickly into different persons, animals and symbols. Driven by the evolving contents of the screen itself, this piece showcases the form and material of Qiu Anxiong’s working method, which relies on precisely planned storyboard sketches drawn in pen on A4 paper. After the narrative is fully formed, Qiu transfers each image by painting it onto a small canvas with acrylic, which can be quickly wiped away to prepare for the subsequent image or element to be painted on top. Such process distills an aesthetics of over-painting that drives narrative development through changing logical relationships between material and form rather than plot elements.","Qiu Anxiong is part of a new generation of Chinese artists synthesizing Chinese culture and history with global contemporary art through addressing new utopias produced by real conditions of globalization. After studying at the Sichuan Art Academy in Chongqing, China and graduating with emphases in contemporary international art and traditional Chinese culture from University of Kassel’s College of Art in Germany, Qiu rose to international prominence in the 2006 Shanghai Biennial with a video work titled New Book of the Mountains and Seas. New Book of the Mountains and Seas is an animated ink work that appropriates the “Book of the Mountains and Seas”, a classical text mapping out the numinous geography of ancient China, to address the relationship between contemporary Chinese subjects and their natural environment through images of paradise and apocalypse.",Portrait: Cover and Clean,Asia,"['portrayal.n.01', 'narrative.s.01', 'material.n.01', 'form.n.01', 'development.n.01', 'symbol.n.01', 'paint.v.01', 'video.n.01', 'animal.n.01', 'component.n.01', 'screen.n.01', 'projection.n.01', 'person.n.01', 'relationship.n.01', 'paper.n.01', 'image.n.01', 'elements.n.01', 'procedure.n.01', 'piece.n.01']","['materiality.n.02', 'transmutation.n.01', 'portraiture.n.02', 'screen.n.01', 'sequence.n.01', 'narrative.n.01']",https://kadist.org/wp-content/uploads/2016/04/img_7510_web.jpg,https://kadist.org/wp-content/uploads/2016/04/img_7510_web-224x300.jpg,https://kadist.org/work/portrait-cover-and-clean/,"['Cultural/5.0982047192573505', 'Material_Physical/4.507167832167832', 'Individual_Personal/3.223529411764706']","['Cultural', 'Material_Physical', 'Individual_Personal']",12.828901963189889,"['Materiality/2.832167832167832', 'Arts/2.411336032388664', 'Fantasy/1.9090909090909092']","['Materiality', 'Arts', 'Fantasy']",7.152594773647405,"['Individual_Personal/13.699561876032469', 'Society/13.625507825507828', 'Cultural/11.252747252747254']","['Individual_Personal', 'Society', 'Cultural']",38.57781695428755,"['Environmental/5.1992673992673994', 'Mind/4.819133807369102', 'Colonization/4.723809523809524']","['Environmental', 'Mind', 'Colonization']",14.742210730446025,0.6666666666666666,0.0
Andrew Grassie,"In 2008, Grassie was invited by the Whitechapel Gallery to document the transformation of some of its spaces. The artist chose to depict the space before and after, thus creating the series titled “After the Archive Collections Room.” This group of paintings displays a space locked into time with its scaffolding and broom exposed, depicted just before an exhibition on a collection of archives.","The hyper-realistic paintings of Andrew Grassie combine know-how and classic technique with a conceptual approach. “Painting as document” as the artist suggests consists of exhibition or studio views that are photographed and maintain their same scale. The question of the exhibition, the choice of works, and their hanging appears central to Andrew Grassie who like a curator creates protocols to create his series. In “Group Show” (2003), he assembles a group of works, photographs them one by one, and uses the photographic support putting as a matrix for further paintings.  The exhibition only exists through this final painting, like in his other project “Tate New Hang” (2004-05) which shows points of view of the hanging of the collection, later to be realized to be in painting. The paintings are hung in the location suggested by the terms described.  Andrew Grassie was born in 1966 in Edinburgh, UK. He lives and works in London.",After the Archive Collections Room,Europe,"['picture.v.02', 'space.n.01', 'invite.v.01', 'display.n.01', 'time.n.01', 'series.n.01']","['documentation.n.01', 'space.n.03', 'transformation.n.05', 'exhibition.n.01', 'subsequently.r.01', 'naturalistic.s.01']",https://kadist.org/wp-content/uploads/2016/04/MP-GRASA-00086-A-300.jpg,https://kadist.org/wp-content/uploads/2016/04/MP-GRASA-00086-A-300-300x246.jpg,https://kadist.org/work/after-the-archive/,"['Material_Physical/4.982692307692307', 'Society/3.2041514041514043', 'Politics/3.086691086691087']","['Material_Physical', 'Society', 'Politics']",11.273534798534797,"['Land/2.307692307692308', 'Urbanization/1.5692307692307694', 'Geopolitics/1.5555555555555556']","['Land', 'Urbanization', 'Geopolitics']",5.432478632478633,['Material_Physical/2.427350427350427'],['Material_Physical'],2.427350427350427,"['Space/0.8888888888888888', 'Physics/0.7692307692307693', 'Time/0.7692307692307693']","['Space', 'Physics', 'Time']",2.427350427350427,0.5,0.0
Sergio De La Torre,"Nuevo Dragon City is a reenactment of a historical event from 1927 in which six Chinese were either trapped or voluntarily hid themselves inside a building in northern Mexico. Working with this unsettled mystery, De La Torre’s video inquires into the historical and continuing tensions between Chinese and Mexicans. As such, Nuevo Dragon City depicts a symbolic act of self-entrapment in which six untrained actors of Chinese descent silently blockade themselves inside in an empty Tijuana storefront. As they close off the outside world, their surroundings and actions become a powerful commentary on the social reality of immigrants.","Sergio De La Torre has worked with and documented the manifold ways in which citizens reinvent themselves in the city they inhabit, as well as the site-specific strategies they deploy to move “in and out modernity.”  De La Torre often collaborates with his subjects, resulting in both intimate and critical reflections on topics like housing, immigration, and labor. De La Torre approaches these individuals not as victim-subjects, but as people who have attempted to reexamine the meaning of their actions in the context of shifting global conditions.",Nuevo Dragon City,Unspecified,"['historical.a.01', 'city.n.01', 'actor.n.01', 'symbolic.a.01', 'mexico.n.01', 'tension.n.01', 'event.n.01', 'action.n.01', 'building.n.01', 'world.n.03', 'social.a.01', 'video.n.01']","['reenactment.n.01', 'immigration.n.01', 'confinement.n.03', 'performance.n.03', 'erasure.n.02', 'restriction.n.03']",https://kadist.org/wp-content/uploads/2016/04/sergio_de_la_torre_nuevo_dragon_city.jpg,https://kadist.org/wp-content/uploads/2016/04/sergio_de_la_torre_nuevo_dragon_city-300x201.jpg,https://kadist.org/work/nuevo-dragon-city/,"['Cultural/8.690090611143242', 'Society/7.386380595668522', 'Politics/6.94663582032003']","['Cultural', 'Society', 'Politics']",23.023107027131793,"['Arts/4.7897243107769425', 'Body/2.511111111111111', 'Geopolitics/1.9473684210526314']","['Arts', 'Body', 'Geopolitics']",9.248203842940685,"['Society/16.588120376355672', 'Cultural/13.731410256410259', 'Politics/12.854298642533939']","['Society', 'Cultural', 'Politics']",43.17382927529987,"['Land/5.844719642242862', 'Urbanization/5.258450046685341', 'Activism/4.861538461538462']","['Land', 'Urbanization', 'Activism']",15.964708150466665,1.0,0.0
Santu Mofokeng,"Santu Mofokeng is a South African photographer.  Mofokeng was born in 1956 in Soweto. He began his career as a street photographer when he was still a teenager, then worked as an assistant in a darkroom and later became a news photographer, working on the Apartheid. He was part of the collective Africapix  From the “Radiant Landscapes” series, this work is part of Santu Mofokeng’s investigation on water. Polluted to a great extend in South Africa, water remains a synonym of purity and is part of many rituals.","The photographic artwork of Santu Mofokeng (b. Soweto, South Africa, 1956), also known as Mofokengâ, explores the complicated societal paradigm of South Africa. Exploring rural farm life, townships, religious rituals and the quotidian life of Black South Africans, Mofokeng’s artwork significantly contributes to a greater understanding of development and identity in the South African context. Mofokeng’s acute insight into the cultural meanings in landscape is testified in his mastership of the photographic medium. Using black and white film as a reference to the documentary genre and a gesture of resistance to the color-rich saturation of consumer culture, Mofokeng’s work presents new meanings on the trodden landscapes Soweto, favoring memory and identity over ownership and power. In highlighting the impoverishment of South African landscape in the face of capital expansion, Mofokeng’s photographs implore emancipation from the global oppression of greed.","Altar at Kliprivier, Soweto",Middle East & Africa,"['water.n.01', 'photographer.n.01', 'probe.n.01', 'africa.n.01', 'ritual.n.01', 'south.n.01', 'corporate.s.03', 'street.n.01', 'landscape.n.01', 'series.n.01']","['everyday.s.01', 'contamination.n.03', 'ritual.n.02', 'ecology.n.01', 'river.n.01', 'consequence.n.01']",https://kadist.org/wp-content/uploads/2016/04/140.jpg,https://kadist.org/wp-content/uploads/2016/04/140-300x200.jpg,https://kadist.org/work/altar-at-kliprivier-soweto/,"['Society/9.00142390289449', 'Material_Physical/6.2945250827603765', 'Cultural/3.423529411764706']","['Society', 'Material_Physical', 'Cultural']",18.71947839741957,"['Colonization/3.1765873015873014', 'Environmental/2.761904761904762', 'Time/2.732620320855615']","['Colonization', 'Environmental', 'Time']",8.671112384347678,"['Material_Physical/8.9997557997558', 'Society/5.082956259426847', 'Cultural/1.8235294117647058']","['Material_Physical', 'Society', 'Cultural']",15.906241470947354,"['Land/7.421978021978021', 'Culture/1.8235294117647058', 'History/1.8235294117647058']","['Land', 'Culture', 'History']",11.069036845507433,1.0,0.0
Alexandre Arrechea,"White Corner (2006) is a video installation, projected on two protruding perpendicular walls. On one level the work constitutes a self-portrait of the artist, whose image is projected on both walls, separated by the corner. Yet while facing, they don’t quite confront each other. The projection on the left hand presents Arrechea wielding a machete, while on the right he holds a baseball bat. Together, the artist appears to be unwittingly attacking himself, a poignant comment on blind fear and the failure to recognize the similarity in the “otherness.”","Alexandre Arrechea was born in 1970 in Trinidad, Cuba, and graduated from the Instituto Superior de Arte in Havana in 1994. In the early 1990s he was known as a member of the art collective Los Carpinteros, which he left in 2003 in order to pursue his career as a solo artist.  Since then, his works have often explored the growing prominence of surveillance systems in contemporary society and the fragility, loss of privacy, and disempowerment that result from this obsession with control. Recently, Arrechea’s interest in the limits of the artwork itself has led to his creation of interdisciplinary works in public spaces.",White Corner,Unspecified,"['project.v.01', 'wall.n.01', 'white.n.01', 'degree.n.01', 'projection.n.01', 'hand.n.01', 'video.n.01', 'image.n.01']","['otherness.n.01', 'self.n.01', 'attack.n.05', 'self-portrait.n.01', 'weapon.n.01', 'fear.v.02']",https://kadist.org/wp-content/uploads/2016/04/alexandre_arrechea_white_corner.jpg,https://kadist.org/wp-content/uploads/2016/04/alexandre_arrechea_white_corner-224x300.jpg,https://kadist.org/work/white-corner/,"['Cultural/4.758169934640523', 'Society/2.7705627705627704', 'Politics/2.611111111111111']","['Cultural', 'Society', 'Politics']",10.139843816314404,"['Technology/3.980392156862745', 'Inequality/2.611111111111111', 'Violence/1.7705627705627704']","['Technology', 'Inequality', 'Violence']",8.362066038536627,"['Individual_Personal/4.876276664511958', 'Material_Physical/4.083516483516483', 'Cultural/4.0307692307692315']","['Individual_Personal', 'Material_Physical', 'Cultural']",12.990562378797673,"['Mind/3.2191338073691016', 'Culture/2.307692307692308', 'Body/1.657142857142857']","['Mind', 'Culture', 'Body']",7.183968972204266,0.3333333333333333,0.0
