metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wup,tags,"Imagination,Time,Politics","Time,Politics,Materiality",2,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/
wup,tags,"Imagination,Land","Imagination,Land,Environmental",2,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/
wup,tags,"Community,Politics,Economy","Land,Materiality,Language",0,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/
wup,tags,"Imagination,Time,Mind","Materiality,Land,Culture",0,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/
wup,tags,Immaterial,Immaterial,1,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/
wup,tags,"Body,Immaterial","Body,Identity,Immaterial",2,Dominique Zinkpè,Cosmos animiste,https://kadist.org/work/cosmos-animiste/
wup,tags,Immaterial,Immaterial,1,Hans Peter Feldmann,Teapot with shadow,https://kadist.org/work/teapot-with-shadow/
wup,tags,Materiality,"Materiality,Land,Culture",1,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/
wup,tags,"Technology,Body,Mind","Technology,Language,Body",2,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/
wup,tags,"Environment,Body","Environmental,Land,Body",1,Diana Thater,Perpetual Motion Two,https://kadist.org/work/perpetual-motion-two/
wup,tags,"Time,Imagination","Language,Politics,Technology",0,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/
wup,tags,"Technology,Economy","Economy,Technology,Conflict",2,Daniel Keller,Soft Staycation (Gaze Track Edit),https://kadist.org/work/soft-staycation-gaze-track-edit/
wup,tags,"Body,Identity,Community","Time,Community,Body",2,Michal Chelbin,Strangely familiar: Angelina with her father,https://kadist.org/work/strangely-familiar-angelina-with-her-father/
