metric,human_assessment_type,human_clusters,machine_clusters,hits,artist_name,title,permalink
wv,tags,"Imagination,Time,Politics","Land,Politics,Culture",1,Du Zhenjun,The Tower of Babel: Independence of the country,https://kadist.org/work/the-tower-of-babel-independence-of-the-country/
wv,tags,"Imagination,Land","Land,Politics,Culture",1,Jiang Pengyi,Unregistered City series #1 #2 #7,https://kadist.org/work/unregistered-city-series-1-2-7/
wv,tags,"Community,Politics,Economy","Land,Politics,Culture",1,Eleanor Antin,100 Boots,https://kadist.org/work/100-boots/
wv,tags,"Imagination,Time,Mind","Culture,Materiality,Time",1,Mathilde Rosier,Far from Honolulu,https://kadist.org/work/far-from-honolulu/
wv,tags,Immaterial,"Culture,Materiality,Politics",0,Brenna Youngblood,Red Door,https://kadist.org/work/red-door/
wv,tags,"Body,Immaterial","Culture,Materiality,Politics",0,Dominique Zinkpè,Cosmos animiste,https://kadist.org/work/cosmos-animiste/
wv,tags,Immaterial,"Materiality,Politics,Culture",0,Hans Peter Feldmann,Teapot with shadow,https://kadist.org/work/teapot-with-shadow/
wv,tags,Materiality,"Materiality,Culture,Land",1,Walead Beshty,"Black Curl (CMY/Five Magnet: Irvine, California, March 25, 2010, Fujicolor Cyrstal Archive Super Type C, EM No 165-021, 05910)",https://kadist.org/work/black-curl-cmyfive-magnet-irvine-california-march-25-2010-fujicolor-cyrstal-archive-super-type-c-em-no-165-021-05910/
wv,tags,"Technology,Body,Mind","Culture,Materiality,Politics",0,Miri Segal,"BRB (""be right back"")",https://kadist.org/work/brb-be-right-back/
wv,tags,"Environment,Body","Materiality,Politics,Culture",0,Diana Thater,Perpetual Motion Two,https://kadist.org/work/perpetual-motion-two/
wv,tags,"Time,Imagination","Politics,Materiality,Culture",0,Charles Avery,"Untitled (Waiters dancing with Itinerants, Onomatopoeia)",https://kadist.org/work/untitled-waiters-dancing-with-itinerants-onomatopoeia/
wv,tags,"Technology,Economy","Economy,Land,Materiality",1,Daniel Keller,Soft Staycation (Gaze Track Edit),https://kadist.org/work/soft-staycation-gaze-track-edit/
wv,tags,"Body,Identity,Community","Materiality,Culture,Mind",0,Michal Chelbin,Strangely familiar: Angelina with her father,https://kadist.org/work/strangely-familiar-angelina-with-her-father/
wv,tags,"Body,Identity,Community","Culture,Politics,Land",0,Guy Ben-Ner,Wild Boy,https://kadist.org/work/wild-boy/
wv,tags,"Time,Culture","Culture,Time,Materiality",2,Pierre Leguillon,"Diane Arbus: A printed retrospective, 1960-1971",https://kadist.org/work/diane-arbus-a-printed-retrospective-1960-1971/
wv,tags,"Body,Materiality","Materiality,Immaterial,Culture",1,George Pfau,Decomposing Eternally,https://kadist.org/work/decomposing-eternally/
wv,tags,Materiality,"Materiality,Immaterial,Culture",1,James Weeks,Man with Blue Tie,https://kadist.org/work/man-with-blue-tie/
wv,tags,Economy,"Culture,Materiality,Immaterial",0,Kan Xuan,Island,https://kadist.org/work/island/
wv,tags,"Nature,Time,Immaterial","Politics,Culture,Materiality",0,Pratchaya Phinthong,If I dig a very deep hole,https://kadist.org/work/if-i-dig-a-very-deep-hole/
wv,tags,"Identity,Materiality","Culture,Materiality,Politics",1,Jonathan Monk,Untitled (Rolled up),https://kadist.org/work/untitled-rolled-up/
wv,tags,"Materiality,Language","Materiality,Culture,Politics",1,Pablo Accinelli,Onde quer voce esteja (Wherever you may be),https://kadist.org/work/onde-quer-voce-esteja-wherever-you-may-be/
wv,tags,"Body,Conflict","Culture,Politics,Materiality",0,Jennifer Locke,Choke,https://kadist.org/work/choke/
wv,tags,Environment,"Culture,Land,Materiality",0,Robert Zhao Renhui,Expedition #46,https://kadist.org/work/expedition-46-from-the-series-the-glacier-study-group-2/
wv,tags,"Body,Mind,Environment","Materiality,Culture,Land",0,Fernanda Gomes,Untitled,https://kadist.org/work/untitled-14/
wv,description,"Economy,Politics,Time","Politics,Land,Culture",1,Milena Bonilla,Stone Deaf,https://kadist.org/work/stone-deaf/
wv,description,"Technology,Economy","Culture,Materiality,Economy",1,Jennifer Bornstein,Collectors’ Favorites,https://kadist.org/work/collectors-favorites/
wv,description,"Culture,Time","Materiality,Culture,Land",1,Carlos Garaicoa,From the series the Old and the New (XI),https://kadist.org/work/from-the-series-the-old-and-the-new-xi/
wv,description,"Politics,Mind","Politics,Land,Culture",1,Humberto Diaz,3600 besos por hora,https://kadist.org/work/3600-besos-por-hora/
wv,description,"Economy,Politics,Environment","Economy,Land,Politics",2,"Jennifer Allora, Guillermo Calzadilla",The Nature of Conflict,https://kadist.org/work/the-nature-of-conflict/
